Table order	Compound	Disease-context targets	Rectal B-lineage expressed targets	Rectal B-lineage increased targets	M/DC increased targets	HERB evidence records	HERB references	Clinical trial records	Meta-analysis records	Target-set score	Target-set rank
1	Curcumin	22	12	11	8	13	4	5	4	54.25	1
2	Berberine	16	9	8	5	10	6	1	3	27.5	5
3	Bilobalide	12	7	6	6	2	2	0	0	31.75	3
4	Geniposide	11	6	6	4	2	2	0	0	28.75	4
5	Emodin	18	7	5	4	4	4	0	0	37.0	2
6	Shikonin / Isoarnebin 4	9	6	5	3	2	2	0	0	26.75	6
7	Alpinetin	6	5	5	3	2	2	0	0	21.25	8
8	Trans-resveratrol	7	4	4	4	6	2	1	3	19.0	13
9	Taxifolin	7	4	4	3	3	3	0	0	19.0	12
10	Asperuloside	7	5	4	2	2	2	0	0	19.25	10
11	Polydatin	5	4	4	2	2	2	0	0	21.0	9
12	Cryptotanshinone	11	6	3	4	3	3	0	0	23.5	7
13	Capsaicin	8	3	3	1	2	2	0	0	12.75	15
14	Rhein	4	3	3	3	3	3	0	0	14.75	14
15	Honokiol	6	2	2	2	2	2	0	0	12.5	16
16	Wogonin	4	1	1	1	3	3	0	0	6.25	18
17	Cis-resveratrol	4	1	1	1	2	1	1	0	6.25	17
18	Brahmic acid	3	1	1	0	2	2	0	0	4.25	20
19	Spermidine	2	2	1	1	2	2	0	0	5.75	19
20	Melatonin	1	1	1	0	5	2	1	2	4.25	21
21	Paeoniflorin	1	0	0	0	3	3	0	0	0.0	24
22	Pterostilbene	1	1	0	1	2	2	0	0	2.25	22
23	Matrine	1	0	0	0	2	2	0	0	0.0	23
24	Quercetin	1	0	0	0	2	2	0	0	0.0	25
