ingredient_id	ingredient_name	candidate_priority_class	candidate_priority_score	bridge_score	disease_context_edge_rows	n_disease_context_unique_targets	disease_context_unique_targets	n_bulk_up_target_hits	bulk_up_target_hits	n_bulk_down_target_hits	bulk_down_target_hits	n_aligned_target_genes	aligned_target_genes	n_b_cell_expressed_targets	b_cell_expressed_targets	n_b_cell_disease_increased_targets	b_cell_disease_increased_targets	n_mdc_expressed_targets	mdc_expressed_targets	n_mdc_disease_increased_targets	mdc_disease_increased_targets	top_b_cell_target_evidence
HBIN021985	Curcumin	priority_for_lincs_mapping	55.0	63.2	26	22	BCL6;BLNK;CCL2;IFNG;IL10;IL12A;IL13;IL15;IL1B;IL22;IL33;IL4;IL6;IL7;INS;JAK1;LOC102723407;PIAS1;SH3KBP1;STAT5A;SYK;TNF	3	CCL2;IL1B;IL33	0		3	CCL2;IL1B;IL33	12	BCL6;BLNK;IFNG;IL15;IL1B;IL7;JAK1;PIAS1;SH3KBP1;STAT5A;SYK;TNF	11	BCL6;BLNK;IL15;IL1B;IL7;JAK1;PIAS1;SH3KBP1;STAT5A;SYK;TNF	11	BCL6;BLNK;IL15;IL1B;IL7;JAK1;PIAS1;SH3KBP1;STAT5A;SYK;TNF	8	BLNK;IL15;IL1B;IL7;JAK1;SH3KBP1;STAT5A;TNF	BCL6|PMID:36353208|suppress/inhibitor|Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling || BLNK|PMID:36353208|upregulate/increase|Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling || CCL2|PMID:36196887|suppress/inhibitor|Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway || IL10|PMID:36196887|upregulate/increase|Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway || IL10|PMID:36353208|upregulate/increase|Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling || IL1B|PMID:36196887|suppress/inhibitor|Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway || IL1B|PMID:36353208|downregulate/decrease|Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling || SYK|PMID:36353208|suppress/inhibitor|Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling
HBIN016606	Archin	priority_for_lincs_mapping	22.0	46	22	18	CCL2;CTNNB1;CXCL5;HP;IFNG;IL1A;IL1B;IL22;IL6;ITGAM;MARVELD1;MUC2;NFKB1;NOS2;PPARG;PTGS2;TJP1;TNF	6	CCL2;CXCL5;IL1A;IL1B;NOS2;PTGS2	1	PPARG	3	IL1B;NOS2;PTGS2	7	CTNNB1;IFNG;IL1B;ITGAM;NFKB1;PTGS2;TNF	5	CTNNB1;IL1B;ITGAM;NFKB1;TNF	6	CTNNB1;IL1B;ITGAM;NFKB1;PTGS2;TNF	4	CTNNB1;IL1B;NFKB1;TNF	
HBIN018512	Bilobalide	priority_for_lincs_mapping	17.0	34.8	12	12	AKT1;CLDN3;IL1B;IL6;ITGAX;MAPK14;MARVELD1;MPO;NFKB1;RELA;TJP1;TNF	2	IL1B;ITGAX	0		1	ITGAX	7	AKT1;IL1B;ITGAX;MAPK14;NFKB1;RELA;TNF	6	IL1B;ITGAX;MAPK14;NFKB1;RELA;TNF	7	AKT1;IL1B;ITGAX;MAPK14;NFKB1;RELA;TNF	6	AKT1;IL1B;ITGAX;NFKB1;RELA;TNF	
HBIN017892	Berberime	priority_for_lincs_mapping	41.0	33.5	13	10	BRD4;IL1B;IL6;LYZ;MARVELD1;MKI67;PTGS2;STAT3;TJP1;TNF	2	IL1B;PTGS2	0		2	IL1B;PTGS2	6	BRD4;IL1B;LYZ;PTGS2;STAT3;TNF	5	BRD4;IL1B;LYZ;STAT3;TNF	6	BRD4;IL1B;LYZ;PTGS2;STAT3;TNF	2	IL1B;TNF	
HBIN027450	Geniposide	priority_for_lincs_mapping	14.0	31.8	13	11	BECN1;CCL2;CD4;FOXP3;IL10;IL1B;IL6;MAPK14;MARVELD1;TNF;VDR	2	CCL2;IL1B	0		1	IL1B	6	BECN1;CD4;FOXP3;IL1B;MAPK14;TNF	6	BECN1;CD4;FOXP3;IL1B;MAPK14;TNF	5	BECN1;CD4;IL1B;MAPK14;TNF	4	BECN1;CD4;IL1B;TNF	
HBIN030442	Isoarnebin 4	priority_for_lincs_mapping	17.0	29.8	13	9	CD86;IFNG;IL10;IL1B;IL6;MAFB;NOS2;PKM;TNF	2	IL1B;NOS2	0		1	NOS2	6	CD86;IFNG;IL1B;MAFB;PKM;TNF	5	CD86;IL1B;MAFB;PKM;TNF	5	CD86;IL1B;MAFB;PKM;TNF	3	CD86;IL1B;TNF	
HBIN021795	Cryptotanshinone	priority_for_lincs_mapping	18.0	29.5	12	11	ACTA2;ADIPOQ;IL17A;IL6;NOS2;OLR1;PTGS2;RELA;STAT3;TLR4;TNF	2	NOS2;PTGS2	0		2	NOS2;PTGS2	6	ACTA2;PTGS2;RELA;STAT3;TLR4;TNF	3	RELA;STAT3;TNF	6	ACTA2;PTGS2;RELA;STAT3;TLR4;TNF	4	ACTA2;RELA;TLR4;TNF	
HBIN040403	Polydatin	priority_for_lincs_mapping	17.0	27	5	5	ICAM1;NFKB1;PARP1;SELP;STAT3	2	ICAM1;SELP	0		2	ICAM1;SELP	4	ICAM1;NFKB1;PARP1;STAT3	4	ICAM1;NFKB1;PARP1;STAT3	4	ICAM1;NFKB1;PARP1;STAT3	2	ICAM1;NFKB1	
HBIN017893	Berberine	priority_for_lincs_mapping	18.0	22	8	8	ARNTL;BCAM;IL6;NLRP3;OSM;OSMR;PLA2G4A;TNF	1	OSMR	0		1	OSMR	4	ARNTL;NLRP3;OSM;TNF	4	ARNTL;NLRP3;OSM;TNF	4	ARNTL;NLRP3;OSM;TNF	4	ARNTL;NLRP3;OSM;TNF	
HBIN045672	Taxifolin	priority_for_lincs_mapping	21.0	22	7	7	FFAR2;FFAR3;IL1B;IL6;MAPK14;NFKB1;TNF	1	IL1B	0		1	IL1B	4	IL1B;MAPK14;NFKB1;TNF	4	IL1B;MAPK14;NFKB1;TNF	4	IL1B;MAPK14;NFKB1;TNF	3	IL1B;NFKB1;TNF	
HBIN046831	Trans-resveratrol	priority_for_lincs_mapping	27.0	22	7	7	BECN1;IL1B;IL6;MAP1LC3B;MARVELD1;TJP1;TNF	1	IL1B	0		1	IL1B	4	BECN1;IL1B;MAP1LC3B;TNF	4	BECN1;IL1B;MAP1LC3B;TNF	4	BECN1;IL1B;MAP1LC3B;TNF	4	BECN1;IL1B;MAP1LC3B;TNF	
HBIN029531	Honokiol	priority_for_lincs_mapping	17.0	21.5	6	6	COX2;IL1B;IL6;NOS2;PPARG;TNF	2	IL1B;NOS2	1	PPARG	3	IL1B;NOS2;PPARG	2	IL1B;TNF	2	IL1B;TNF	2	IL1B;TNF	2	IL1B;TNF	
