ingredient_id	ingredient_name	candidate_priority_class	candidate_priority_score	n_disease_context_targets	n_open_targets_supported_genes	open_targets_supported_genes	n_genetic_supported_genes	genetic_supported_genes	n_clinical_supported_genes	clinical_supported_genes	n_literature_supported_genes	literature_supported_genes	max_overall_score	max_genetic_association_score
HBIN021985	Curcumin	priority_for_lincs_mapping	55.0	22	21	BCL6;BLNK;CCL2;IFNG;IL10;IL12A;IL13;IL15;IL1B;IL22;IL33;IL4;IL6;IL7;INS;JAK1;PIAS1;SH3KBP1;STAT5A;SYK;TNF	6	CCL2;IFNG;IL10;IL33;INS;SYK	7	IFNG;IL12A;IL13;IL1B;IL6;JAK1;TNF	21	BCL6;BLNK;CCL2;IFNG;IL10;IL12A;IL13;IL15;IL1B;IL22;IL33;IL4;IL6;IL7;INS;JAK1;PIAS1;SH3KBP1;STAT5A;SYK;TNF	0.763493	0.88307
HBIN016606	Archin	priority_for_lincs_mapping	22.0	18	17	CCL2;CTNNB1;CXCL5;HP;IFNG;IL1A;IL1B;IL22;IL6;ITGAM;MUC2;NFKB1;NOS2;PPARG;PTGS2;TJP1;TNF	4	CCL2;CTNNB1;IFNG;NFKB1	7	IFNG;IL1A;IL1B;IL6;PPARG;PTGS2;TNF	17	CCL2;CTNNB1;CXCL5;HP;IFNG;IL1A;IL1B;IL22;IL6;ITGAM;MUC2;NFKB1;NOS2;PPARG;PTGS2;TJP1;TNF	0.645758	0.808057
HBIN021795	Cryptotanshinone	priority_for_lincs_mapping	18.0	11	11	ACTA2;ADIPOQ;IL17A;IL6;NOS2;OLR1;PTGS2;RELA;STAT3;TLR4;TNF	4	ACTA2;RELA;STAT3;TLR4	4	IL17A;IL6;PTGS2;TNF	11	ACTA2;ADIPOQ;IL17A;IL6;NOS2;OLR1;PTGS2;RELA;STAT3;TLR4;TNF	0.645758	0.760492
HBIN015751	Alpinetin	priority_for_lincs_mapping	13.0	6	6	AHR;CREB1;DNMT1;NFKB1;NR1I2;TNF	4	AHR;CREB1;NFKB1;NR1I2	1	TNF	6	AHR;CREB1;DNMT1;NFKB1;NR1I2;TNF	0.645758	0.808057
HBIN018512	Bilobalide	priority_for_lincs_mapping	17.0	12	11	AKT1;CLDN3;IL1B;IL6;ITGAX;MAPK14;MPO;NFKB1;RELA;TJP1;TNF	3	MAPK14;NFKB1;RELA	4	IL1B;IL6;MAPK14;TNF	11	AKT1;CLDN3;IL1B;IL6;ITGAX;MAPK14;MPO;NFKB1;RELA;TJP1;TNF	0.645758	0.808057
HBIN027450	Geniposide	priority_for_lincs_mapping	14.0	11	10	BECN1;CCL2;CD4;FOXP3;IL10;IL1B;IL6;MAPK14;TNF;VDR	3	CCL2;IL10;MAPK14	5	IL1B;IL6;MAPK14;TNF;VDR	10	BECN1;CCL2;CD4;FOXP3;IL10;IL1B;IL6;MAPK14;TNF;VDR	0.763493	0.88307
HBIN017893	Berberine	priority_for_lincs_mapping	18.0	8	7	BCAM;IL6;NLRP3;OSM;OSMR;PLA2G4A;TNF	3	NLRP3;OSM;OSMR	3	IL6;OSMR;TNF	7	BCAM;IL6;NLRP3;OSM;OSMR;PLA2G4A;TNF	0.645758	0.744156
HBIN017136	Asperuloside	priority_for_lincs_mapping	19.0	7	7	GABPA;HMOX1;NFKB1;NQO1;RELA;SMAD3;VDR	3	NFKB1;RELA;SMAD3	1	VDR	7	GABPA;HMOX1;NFKB1;NQO1;RELA;SMAD3;VDR	0.545518	0.846731
HBIN040403	Polydatin	priority_for_lincs_mapping	17.0	5	5	ICAM1;NFKB1;PARP1;SELP;STAT3	3	ICAM1;NFKB1;STAT3	1	ICAM1	5	ICAM1;NFKB1;PARP1;SELP;STAT3	0.567615	0.808057
HBIN030442	Isoarnebin 4	priority_for_lincs_mapping	17.0	9	9	CD86;IFNG;IL10;IL1B;IL6;MAFB;NOS2;PKM;TNF	2	IFNG;IL10	5	CD86;IFNG;IL1B;IL6;TNF	9	CD86;IFNG;IL10;IL1B;IL6;MAFB;NOS2;PKM;TNF	0.763493	0.88307
HBIN045672	Taxifolin	priority_for_lincs_mapping	21.0	7	7	FFAR2;FFAR3;IL1B;IL6;MAPK14;NFKB1;TNF	2	MAPK14;NFKB1	5	FFAR2;IL1B;IL6;MAPK14;TNF	7	FFAR2;FFAR3;IL1B;IL6;MAPK14;NFKB1;TNF	0.645758	0.808057
HBIN017892	Berberime	priority_for_lincs_mapping	41.0	10	9	BRD4;IL1B;IL6;LYZ;MKI67;PTGS2;STAT3;TJP1;TNF	1	STAT3	4	IL1B;IL6;PTGS2;TNF	9	BRD4;IL1B;IL6;LYZ;MKI67;PTGS2;STAT3;TJP1;TNF	0.645758	0.760492
HBIN019690	Capsaicin	priority_for_lincs_mapping	14.0	8	8	CAT;IL10;IL6;SOD1;TNF;TRPA1;TRPV1;TRPV4	1	IL10	3	IL6;TNF;TRPV1	8	CAT;IL10;IL6;SOD1;TNF;TRPA1;TRPV1;TRPV4	0.763493	0.88307
HBIN046831	Trans-resveratrol	priority_for_lincs_mapping	27.0	7	6	BECN1;IL1B;IL6;MAP1LC3B;TJP1;TNF	1	MAP1LC3B	3	IL1B;IL6;TNF	6	BECN1;IL1B;IL6;MAP1LC3B;TJP1;TNF	0.645758	0.0476278
HBIN048372	Wogonin	priority_for_lincs_mapping	17.0	4	4	HIF1A;IL10;NOS2;PPARG	1	IL10	1	PPARG	4	HIF1A;IL10;NOS2;PPARG	0.763493	0.88307
