variant	tissue_assignment	celltype	n_diseased_samples	n_healthy_samples	delta_axis_diseased_minus_healthy	p_mannwhitney	q_mannwhitney_bh	empirical_p_two_sided	q_empirical_bh	null_q025_delta	null_q975_delta	n_permutations	seed
GSE75214_top150_avg_logcpm	R	B	7	4	0.0105791	0.648485	0.927273	0.566543	0.963104	-0.031535	0.0275573	10000	20260702
GSE75214_top150_logsum_cpm	R	B	7	4	0.133576	0.927273	0.927273	0.651735	0.80192	-0.489281	0.437383	10000	20260702
GSE87466_top150_avg_logcpm	R	B	7	4	0.0191841	0.163636	0.654545	0.090191	0.360764	-0.0210124	0.0226849	10000	20260702
GSE87466_top150_logsum_cpm	R	B	7	4	0.141452	0.527273	0.648485	0.352065	0.639403	-0.265161	0.285405	10000	20260702
consensus_top100_avg_logcpm	R	B	7	4	0.0134135	0.109091	0.436364	0.177182	0.354365	-0.0183486	0.0172417	10000	20260702
consensus_top100_logsum_cpm	R	B	7	4	0.185136	0.109091	0.218182	0.0836916	0.167383	-0.206299	0.190663	10000	20260702
consensus_top150_avg_logcpm	R	B	7	4	0.0804293	0.0121212	0.0484848	0.00639936	0.0255974	-0.0618036	0.0608315	10000	20260702
consensus_top150_logsum_cpm	R	B	7	4	0.538392	0.00606061	0.0242424	0.00419958	0.0167983	-0.354632	0.3704	10000	20260702
consensus_top150_weighted_avg_logcpm	R	B	7	4	0.0689096	0.0121212	0.0484848	0.00969903	0.0387961	-0.0534149	0.0515744	10000	20260702
consensus_top150_weighted_logsum_cpm	R	B	7	4	0.528394	0.00606061	0.0242424	0.00309969	0.0123988	-0.350255	0.352619	10000	20260702
consensus_top300_avg_logcpm	R	B	7	4	0.0528151	0.0242424	0.0969697	0.00919908	0.0367963	-0.0409244	0.0422846	10000	20260702
consensus_top300_logsum_cpm	R	B	7	4	0.0585314	0.648485	0.787879	0.755624	0.755624	-0.349246	0.337938	10000	20260702
consensus_top50_avg_logcpm	R	B	7	4	-0.0596174	0.0242424	0.0969697	0.0157984	0.0631937	-0.0500598	0.0492708	10000	20260702
consensus_top50_logsum_cpm	R	B	7	4	-0.54697	0.0242424	0.0969697	0.0110989	0.0443956	-0.438973	0.432978	10000	20260702
