number	ref_key	doi	pmid	geo	url	status	audit_action	evidence_note	reference
1	R001	10.1053/j.gastro.2024.10.001	39572132			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Gastroenterology 2024;167(7) 1307-1343 | Crossref: Gastroenterology 167;7 1307-1343	Singh S, Loftus EV Jr, Limketkai BN, Haydek JP, Agrawal M, Scott FI, et al. AGA Living Clinical Practice Guideline on Pharmacological Management of Moderate-to-Severe Ulcerative Colitis. Gastroenterology. 2024;167(7):1307-1343. doi:10.1053/j.gastro.2024.10.001.
2	R003	10.1136/gutjnl-2023-330001	37949638			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Gut 2024;73(2) 350-360 | Crossref: Gut 73;2 350-360	Tun HM, Peng Y, Massimino L, Sin ZY, Parigi TL, Facoetti A, et al. Gut virome in inflammatory bowel disease and beyond. Gut. 2024;73(2):350-360. doi:10.1136/gutjnl-2023-330001.
3	R008	10.1093/nar/gkad965	37933855			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Nucleic Acids Res 2024;52(D1) D138-D144 | Crossref: Nucleic Acids Research 52;D1 D138-D144	Clough E, Barrett T, Wilhite SE, Ledoux P, Evangelista C, Kim IF, et al. NCBI GEO: archive for gene expression and epigenomics data sets: 23-year update. Nucleic Acids Res. 2024;52(D1):D138-D144. doi:10.1093/nar/gkad965.
4	R010			GSE75214	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75214	GEO_OK	No reference-list edit required after metadata audit.	Mucosal gene expression profiling in patients with inflammatory bowel disease study	National Center for Biotechnology Information. Gene Expression Omnibus record GSE75214: GSE75214: Mucosal gene expression profiling in patients with inflammatory bowel disease study [Internet]. Bethesda (MD): National Center for Biotechnology Information; [cited 2026 Jul 1]. Available from: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75214
5	R012			GSE87466	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87466	GEO_OK	No reference-list edit required after metadata audit.	Gene expression profiling of mucosal biopsies from adult patients with moderately to severely active ulcerative colitis	National Center for Biotechnology Information. Gene Expression Omnibus record GSE87466: GSE87466: Gene expression profiling of mucosal biopsies from adult patients with moderately to severely active ulcerative colitis [Internet]. Bethesda (MD): National Center for Biotechnology Information; [cited 2026 Jul 1]. Available from: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87466
6	R014	10.1016/j.cell.2019.06.029	31348891			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Cell 2019;178(3) 714-730.e22 | Crossref: Cell 178;3 714-730.e22	Smillie CS, Biton M, Ordovas-Montanes J, Sullivan KM, Burgin G, Graham DB, et al. Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis. Cell. 2019;178(3):714-730.e22. doi:10.1016/j.cell.2019.06.029.
7	R015	10.1016/j.cell.2019.08.008	31474370			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Cell 2019;178(6) 1493-1508.e20 | Crossref: Cell 178;6 1493-1508.e20	Martin JC, Chang C, Boschetti G, Ungaro R, Giri M, Grout JA, et al. Single-Cell Analysis of Crohn's Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to Anti-TNF Therapy. Cell. 2019;178(6):1493-1508.e20. doi:10.1016/j.cell.2019.08.008.
8	R037	10.1093/bib/bbad518	38197310			PMID_OK;DOI_OK	Edited manuscript/reference map: added missing article/page metadata, normalized journal abbreviation, or added terminal DOI punctuation.	PubMed: Brief Bioinform 2023;25(1) bbad518 | Crossref: Briefings in Bioinformatics 25;1 bbad518	Zhang P, Zhang D, Zhou W, Wang L, Wang B, Zhang T, et al. Network pharmacology: towards the artificial intelligence-based precision traditional Chinese medicine. Brief Bioinform. 2023;25(1):bbad518. doi:10.1093/bib/bbad518.
9	R028	10.1093/nar/gkae1037				DOI_OK	Edited manuscript/reference map: added missing article/page metadata, normalized journal abbreviation, or added terminal DOI punctuation.	Crossref: Nucleic Acids Research 53;D1 D1404-D1414	Gao K, Liu L, Lei S, Li Z, Huo P, Wang Z, et al. HERB 2.0: an updated database integrating clinical and experimental evidence for traditional Chinese medicine. Nucleic Acids Res. 2025;53(D1):D1404-D1414. doi:10.1093/nar/gkae1037.
10	R034	10.1126/sciadv.adh0215				DOI_OK	Edited manuscript/reference map: added missing article/page metadata, normalized journal abbreviation, or added terminal DOI punctuation.	Crossref: Science Advances 9;43 eadh0215	Gan X, Liu Y, Li W, et al. Network medicine framework reveals generic herb-symptom effectiveness of traditional Chinese medicine. Sci Adv. 2023;9(43):eadh0215. doi:10.1126/sciadv.adh0215.
11	R035	10.1093/bib/bbad346				DOI_OK	Edited manuscript/reference map: added missing article/page metadata, normalized journal abbreviation, or added terminal DOI punctuation.	Crossref: Briefings in Bioinformatics 24;6 bbad346	Tian S, Li Y, Xu J, Zhang L, Zhang J, Lu J, et al. COIMMR: a computational framework to reveal the contribution of herbal ingredients against human cancer via immune microenvironment and metabolic reprogramming. Brief Bioinform. 2023;24(6):bbad346. doi:10.1093/bib/bbad346.
12	R036	10.1093/bib/bbae362				DOI_OK	Edited manuscript/reference map: added missing article/page metadata, normalized journal abbreviation, or added terminal DOI punctuation.	Crossref: Briefings in Bioinformatics 25;5 bbae362	Wang X, et al. Herb-CMap: a multimodal fusion framework for deciphering the mechanisms of action in traditional Chinese medicine using Suhuang antitussive capsule as a case study. Brief Bioinform. 2024;25(5):bbae362. doi:10.1093/bib/bbae362.
13	R030	10.1093/nar/gky987	30365030			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Nucleic Acids Res 2019;47(D1) D976-D982 | Crossref: Nucleic Acids Research 47;D1 D976-D982	Xu HY, Zhang YQ, Liu ZM, Chen T, Lv CY, Tang SH, et al. ETCM: an encyclopaedia of traditional Chinese medicine. Nucleic Acids Res. 2019;47(D1):D976-D982. doi:10.1093/nar/gky987.
14	R050	10.1093/nar/gkae1128	39657122			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Nucleic Acids Res 2025;53(D1) D1467-D1475 | Crossref: Nucleic Acids Research 53;D1 D1467-D1475	Buniello A, Suveges D, Cruz-Castillo C, Llinares MB, Cornu H, Lopez I, et al. Open Targets Platform: facilitating therapeutic hypotheses building in drug discovery. Nucleic Acids Res. 2025;53(D1):D1467-D1475. doi:10.1093/nar/gkae1128.
15	R052	10.1016/j.cell.2017.10.049				DOI_OK	Edited manuscript/reference map: added missing article/page metadata, normalized journal abbreviation, or added terminal DOI punctuation.	Crossref: Cell 171;6 1437-1452.e17	Subramanian A, Narayan R, Corsello SM, Peck DD, Natoli TE, Lu X, et al. A Next Generation Connectivity Map: L1000 Platform and the First 1,000,000 Profiles. Cell. 2017;171(6):1437-1452.e17. doi:10.1016/j.cell.2017.10.049.
