display_group	accession	gene_symbol	log2fc	fdr	p_value	t_stat	neglog10_fdr	plot_class
GSE75214 discovery	GSE75214	SLC26A2	-4.52411	5.2517199999999995e-42	1.57937e-46	-30.6485	41.279698436751744	down
GSE75214 discovery	GSE75214	ABCA12	3.66425	1.0267e-36	6.17524e-41	25.6164	35.98855643797793	up
GSE75214 discovery	GSE75214	PADI2	-3.14891	2.3321500000000002e-33	2.10407e-37	-27.0239	32.63224351991763	down
GSE75214 discovery	GSE75214	TCN1	3.58332	1.4085e-32	1.69433e-36	22.3569	31.851243148678208	up
GSE75214 discovery	GSE75214	VSIG1	3.80544	1.44574e-32	2.17392e-36	22.3581	31.839909802973764	up
GSE75214 discovery	GSE75214	HAPLN3	1.39144	1.88199e-32	3.39586e-36	22.4692	31.725382688537007	up
GSE75214 discovery	GSE75214	CXCL2	2.37526	3.55542e-31	7.48465e-35	24.7028	30.449109088912177	up
GSE75214 discovery	GSE75214	EPHX2	-1.72288	7.13172e-30	1.7158000000000002e-33	-20.4961	29.14680571609147	down
GSE75214 discovery	GSE75214	TNIP3	4.31956	5.604140000000001e-29	1.5168200000000002e-32	23.8734	28.25149102390946	up
GSE75214 discovery	GSE75214	ENTPD5	-2.19845	1.4285500000000001e-28	4.29614e-32	-20.9443	27.845104554480343	down
GSE75214 discovery	GSE75214	CXCL3	1.3125	6.16229e-28	2.0385299999999997e-31	22.1531	27.210257867454295	up
GSE75214 discovery	GSE75214	SERPINA3	2.77232	7.0118500000000005e-28	2.5304399999999997e-31	19.8562	27.15416738306157	up
GSE75214 discovery	GSE75214	SLC9A2	-1.8992	1.81002e-26	7.51424e-30	-17.749	25.742316626323273	down
GSE75214 discovery	GSE75214	HM13	0.821799	1.81002e-26	7.62067e-30	23.5628	25.742316626323273	not_significant
GSE75214 discovery	GSE75214	AQP9	3.44453	4.33313e-26	1.9546800000000002e-29	17.6108	25.363198281324333	up
GSE75214 discovery	GSE75214	UGT2A3	-4.31692	1.54013e-25	7.41073e-29	-27.0127	24.81244261948834	down
GSE75214 discovery	GSE75214	MAOA	-1.67643	2.2674099999999998e-25	1.15921e-28	-16.9371	24.64446994231818	down
GSE75214 discovery	GSE75214	SELP	2.50623	2.58466e-25	1.39913e-28	18.499	24.58759657823171	up
GSE75214 discovery	GSE75214	MMP7	3.74352	3.48075e-25	1.9888800000000002e-28	19.7146	24.45832716818927	up
GSE75214 discovery	GSE75214	THBD	1.00663	1.97866e-24	1.1901e-27	16.4713	23.703628825707497	up
GSE75214 discovery	GSE75214	S100A9	2.2207	6.9485e-24	4.3882599999999996e-27	16.0242	23.158108938148366	up
GSE75214 discovery	GSE75214	ADAMTS9	2.03789	7.19288e-24	4.75891e-27	20.6576	23.143097185045043	up
GSE75214 discovery	GSE75214	COL15A1	1.6944	9.10104e-24	6.2950799999999995e-27	15.9646	23.040908976859825	up
GSE75214 discovery	GSE75214	AKAP1	-1.11624	1.11468e-23	8.045319999999999e-27	-16.3553	22.95284979107368	down
GSE75214 discovery	GSE75214	SLC17A4	-2.8719	2.83552e-23	2.30239e-26	-18.527	22.547367285123176	down
GSE75214 discovery	GSE75214	DHRS11	-2.3531	2.83552e-23	2.2198500000000002e-26	-18.987	22.547367285123176	down
GSE75214 discovery	GSE75214	PFKFB3	2.11433	2.83552e-23	2.2970000000000002e-26	19.2087	22.547367285123176	up
GSE75214 discovery	GSE75214	MMP10	2.28307	3.2074e-23	2.70081e-26	16.427	22.493846875132366	up
GSE75214 discovery	GSE75214	CD40	1.02805	5.42303e-23	4.72958e-26	17.01	22.265757993057	up
GSE75214 discovery	GSE75214	VIPR1	-1.69821	1.22116e-22	1.10173e-25	-16.2742	21.91322742977772	down
GSE75214 discovery	GSE75214	EPB41L4B	-1.158	1.31601e-22	1.2268799999999999e-25	-16.7089	21.880740810624555	down
GSE75214 discovery	GSE75214	DUSP4	1.29991	1.75169e-22	1.68574e-25	17.9414	21.756542749310444	up
GSE75214 discovery	GSE75214	SELE	2.6709	2.8917e-22	2.86979e-25	15.273	21.538846765009158	up
GSE75214 discovery	GSE75214	GUCA2A	-3.31586	4.83094e-22	4.93961e-25	-16.4278	21.315968356392744	down
GSE75214 discovery	GSE75214	CXCR1	2.34755	5.72733e-22	6.02841e-25	14.9396	21.242047792781538	up
GSE75214 discovery	GSE75214	GOLIM4	-0.689939	7.22207e-22	7.81891e-25	-15.0709	21.14133830648432	not_significant
GSE75214 discovery	GSE75214	SLC4A4	-1.89241	8.54349e-22	9.50647e-25	-14.716	21.06836468456605	down
GSE75214 discovery	GSE75214	CWH43	-3.03888	1.5328099999999999e-21	1.7977700000000002e-24	-18.1038	20.814511674933946	down
GSE75214 discovery	GSE75214	SATB2	-1.52216	1.5650099999999999e-21	1.8826e-24	-14.4939	20.805482883081787	down
GSE75214 discovery	GSE75214	SAA1	1.65574	1.6853499999999998e-21	2.0780500000000002e-24	14.5515	20.77330989462399	up
GSE75214 discovery	GSE75214	SLCO1B3	2.74864	2.38367e-21	3.0824500000000003e-24	14.3798	20.622753869359286	up
GSE75214 discovery	GSE75214	MEP1A	-2.2617	2.6430499999999997e-21	3.4973600000000005e-24	-14.3434	20.577894621008017	down
GSE75214 discovery	GSE75214	CXorf36	1.01987	2.94617e-21	3.98706e-24	15.2292	20.530742197095623	up
GSE75214 discovery	GSE75214	STEAP4	2.83676	3.4450999999999995e-21	4.91465e-24	17.7874	20.462798167423156	up
GSE75214 discovery	GSE75214	TMEM236	-2.58692	3.4450999999999995e-21	4.97308e-24	-15.5519	20.462798167423156	down
GSE75214 discovery	GSE75214	CA1	-3.09592	5.45216e-21	8.03428e-24	-14.3978	20.26343140777179	down
GSE75214 discovery	GSE75214	CSF3R	1.99902	5.5367099999999996e-21	8.325380000000001e-24	14.1363	20.256748223227827	up
GSE75214 discovery	GSE75214	TTC9	0.772965	6.4611099999999994e-21	9.909680000000002e-24	17.9945	20.18969286506007	not_significant
GSE75214 discovery	GSE75214	SLC39A5	-1.76083	9.200059999999999e-21	1.43872e-23	-15.0128	20.036209340308364	down
GSE75214 discovery	GSE75214	RAVER2	-1.65464	1.01619e-20	1.64691e-23	-18.5516	19.993025083157455	down
GSE75214 discovery	GSE75214	DYSF	1.62587	1.2819399999999998e-20	2.12037e-23	14.2374	19.892132301087642	up
GSE75214 discovery	GSE75214	NNMT	1.51942	1.3022599999999999e-20	2.19314e-23	14.9037	19.885302298953324	up
GSE75214 discovery	GSE75214	TRIB2	1.9253	1.52074e-20	2.6068300000000003e-23	22.3248	19.81794503066586	up
GSE75214 discovery	GSE75214	PLCE1	-1.46358	1.5349199999999998e-20	2.6773e-23	-14.95	19.813914255016734	down
GSE75214 discovery	GSE75214	VNN2	2.46997	1.7348299999999997e-20	3.07816e-23	14.5612	19.7607430763078	up
GSE75214 discovery	GSE75214	RTEL1-TNFRSF6B	1.0964	1.9580299999999997e-20	3.5330800000000004e-23	24.7136	19.708180658429384	up
GSE75214 discovery	GSE75214	SAA2	3.70871	2.5984399999999997e-20	4.7667800000000004e-23	20.3221	19.585287306922613	up
GSE75214 discovery	GSE75214	TDP2	-1.42292	2.8017099999999995e-20	5.2239300000000004e-23	-17.441	19.552576819770344	down
GSE75214 discovery	GSE75214	SERPINB7	2.89523	2.8309299999999995e-20	5.36355e-23	14.0651	19.548070869239485	up
GSE75214 discovery	GSE75214	AHCYL2	-1.22857	3.6420399999999995e-20	7.11934e-23	-13.8564	19.438655288721254	down
GSE75214 discovery	GSE75214	RALGPS1	-0.693753	3.6420399999999995e-20	7.084e-23	-17.3013	19.438655288721254	not_significant
GSE75214 discovery	GSE75214	S100A8	4.14811	7.400179999999999e-20	1.46882e-22	17.3874	19.13075771647767	up
GSE75214 discovery	GSE75214	MLKL	1.27455	7.428989999999999e-20	1.49688e-22	19.0571	19.129070226245158	up
GSE75214 discovery	GSE75214	SOD2	1.2719	7.43676e-20	1.52081e-22	13.4472	19.12861623388935	up
GSE75214 discovery	GSE75214	LRRC19	-2.14306	9.118659999999999e-20	1.89218e-22	-13.9595	19.040068977171934	down
GSE75214 discovery	GSE75214	OLFML2B	1.23706	9.961109999999999e-20	2.09695e-22	13.5945	19.00169226398446	up
GSE75214 discovery	GSE75214	RMND5A	-1.3124	1.18672e-19	2.5339e-22	-16.6597	18.92565173833228	down
GSE75214 discovery	GSE75214	ALPL	1.95453	1.3136e-19	2.8443099999999998e-22	15.087	18.881536860224635	up
GSE75214 discovery	GSE75214	FCN3	1.35081	1.9867e-19	4.36152e-22	14.3015	18.70186770822039	up
