celltype	gene_symbol	delta_log1p_cpm_diseased_minus_healthy	p_log1p_cpm_mannwhitney	mean_log1p_cpm_diseased	mean_log1p_cpm_healthy
B	BCL6	0.0721226	0.0179007	0.0826257	0.0105031
B	BLNK	0.281591	0.0424242	0.666277	0.384686
B	IL15	0.0324155	0.412121	0.106777	0.0743617
B	IL1B	0.00113324	1.0	0.00501116	0.00387792
B	IL7	0.0748855	0.0727273	0.0954296	0.0205441
B	JAK1	0.242715	0.163636	0.868312	0.625597
B	PIAS1	0.0824401	0.230303	0.455804	0.373363
B	STAT5A	0.0486891	0.230303	0.111427	0.0627377
B	SYK	0.2135	0.0424242	0.497577	0.284077
B	TNF	0.247649	0.109091	0.485728	0.23808
M/DC	BCL6	-0.312126	0.109531	0.17313	0.485256
M/DC	BLNK	0.0465185	0.731657	0.111237	0.0647186
M/DC	IL15	0.0333446	0.62678	0.0649732	0.0316286
M/DC	IL1B	0.516526	0.116667	2.78165	2.26513
M/DC	IL7	0.0289036	0.62678	0.0605322	0.0316286
M/DC	JAK1	0.0716316	0.833333	0.921707	0.850076
M/DC	PIAS1	-0.366305	0.0166667	0.352814	0.719119
M/DC	STAT5A	0.0126604	1.0	0.334545	0.321885
M/DC	SYK	-0.156981	0.666667	0.692493	0.849474
M/DC	TNF	0.0843929	0.666667	0.669122	0.584729
