disease_id	disease_name	target_ensembl_id	gene_symbol	target_approved_name	overall_score	genetic_association_score	clinical_score	literature_score	rna_expression_score	animal_model_score	genetic_literature_score	somatic_mutation_score	known_drug_score	affected_pathway_score	candidate_ingredients	is_curcumin_target	curcumin_evidence_tier	all_datatype_scores	all_datasource_scores
MONDO_0005011	Crohn disease	ENSG00000107796	ACTA2	actin alpha 2, smooth muscle	0.290671	0.477597	0	0	0.0106995	0	0	0	0	0	Cryptotanshinone	no		genetic_association:0.477597;rna_expression:0.0106995	expression_atlas:0.0106995;gwas_credible_sets:0.477597
MONDO_0005265	inflammatory bowel disease	ENSG00000107796	ACTA2	actin alpha 2, smooth muscle	0.365152	0.596996	0	0.0730159	0	0	0	0	0	0	Cryptotanshinone	no		genetic_association:0.596996;literature:0.0730159	europepmc:0.0730159;gwas_credible_sets:0.596996
MONDO_0005101	ulcerative colitis	ENSG00000107796	ACTA2	actin alpha 2, smooth muscle	0.290921	0.477597	0	0	0.0189099	0	0	0	0	0	Cryptotanshinone	no		genetic_association:0.477597;rna_expression:0.0189099	expression_atlas:0.0189099;gwas_credible_sets:0.477597
MONDO_0005011	Crohn disease	ENSG00000181092	ADIPOQ	adiponectin, C1Q and collagen domain containing	0.0196533	0	0	0.161641	0	0	0	0	0	0	Cryptotanshinone	no		literature:0.161641	europepmc:0.161641
MONDO_0005265	inflammatory bowel disease	ENSG00000181092	ADIPOQ	adiponectin, C1Q and collagen domain containing	0.0969872	0	0	0.797683	0	0	0	0	0	0	Cryptotanshinone	no		literature:0.797683	europepmc:0.797683
MONDO_0005101	ulcerative colitis	ENSG00000181092	ADIPOQ	adiponectin, C1Q and collagen domain containing	0.0168383	0	0	0.138489	0	0	0	0	0	0	Cryptotanshinone	no		literature:0.138489	europepmc:0.138489
MONDO_0005011	Crohn disease	ENSG00000106546	AHR	aryl hydrocarbon receptor	0.221723	0.357369	0	0.14696	0	0	0	0	0	0	Alpinetin	no		genetic_association:0.357369;literature:0.14696	europepmc:0.14696;gwas_credible_sets:0.357369
MONDO_0005265	inflammatory bowel disease	ENSG00000106546	AHR	aryl hydrocarbon receptor	0.3271	0.479781	0	0.965177	0	0.450642	0	0	0	0	Alpinetin	no		animal_model:0.450642;genetic_association:0.479781;literature:0.965177	europepmc:0.965177;gwas_credible_sets:0.479781;impc:0.450642
MONDO_0005101	ulcerative colitis	ENSG00000106546	AHR	aryl hydrocarbon receptor	0.267123	0.431776	0	0.145195	0.01629	0	0	0	0	0	Alpinetin	no		genetic_association:0.431776;literature:0.145195;rna_expression:0.01629	europepmc:0.145195;expression_atlas:0.01629;gwas_credible_sets:0.431776
MONDO_0005011	Crohn disease	ENSG00000142208	AKT1	AKT serine/threonine kinase 1	0.0167269	0	0	0.137572	0	0	0	0	0	0	Bilobalide	no		literature:0.137572	europepmc:0.137572
MONDO_0005265	inflammatory bowel disease	ENSG00000142208	AKT1	AKT serine/threonine kinase 1	0.303673	0	0	0.871412	0	0	0	0.455948	0	0	Bilobalide	no		literature:0.871412;somatic_mutation:0.455948	cancer_gene_census:0.455948;europepmc:0.871412
MONDO_0005101	ulcerative colitis	ENSG00000142208	AKT1	AKT serine/threonine kinase 1	0.284569	0	0	0.242937	0	0	0	0.455948	0	0	Bilobalide	no		literature:0.242937;somatic_mutation:0.455948	cancer_gene_census:0.455948;europepmc:0.242937
MONDO_0005265	inflammatory bowel disease	ENSG00000187244	BCAM	basal cell adhesion molecule (Lutheran blood group)	0.0352136	0	0	0.121586	0	0.259222	0	0	0	0	Berberine	no		animal_model:0.259222;literature:0.121586	europepmc:0.121586;impc:0.259222
