etcm_target_name	mapped_gene_symbol	mapped_gene_name	mapped_entrezgene	mapped_ensembl_gene	mapped_uniprot	mapping_confidence	mapping_source	mapping_rationale	candidate_preview
Acetylcholinesterase	ACHE	Acetylcholinesterase			P22303	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:ACHE:Acetylcholinesterase:P22303: || UniProt_exact_protein_name:COLQ:Acetylcholinesterase collagenic tail peptide:Q9Y215: || UniProt_exact_protein_name:CUTA:Protein CutA:O60888: || MyGene_query:ACHE:acetylcholinesterase (Yt blood group):P22303:58.042034 || MyGene_query:COLQ:collagen like tail subunit of asymmetric acetylcholinesterase:Q9Y215:44.411186
Adenosine receptor A3	ADORA3	Adenosine receptor A3			P0DMS8	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:ADORA3:Adenosine receptor A3:P0DMS8: || MyGene_query:ADORA3:adenosine A3 receptor:P0DMS8:93.87554 || MyGene_query:TMIGD3:transmembrane and immunoglobulin domain containing 3:P0DMS9:8.542488
Alkaline phosphatase, tissue-nonspecific isozyme	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme			P05186	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:ALPL:Alkaline phosphatase, tissue-nonspecific isozyme:P05186: || MyGene_query:ALPL:alkaline phosphatase, biomineralization associated:P05186:26.233595
Aromatase	CYP19A1	Aromatase			P11511	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CYP19A1:Aromatase:P11511: || MyGene_query:LOC110386949:CYP19A1 promoter I.7::15.764429 || MyGene_query:LOC110386951:CYP19A1 promoter II/1.3::12.596076 || MyGene_query:LOC110386947:CYP19A1 promoter I.1::12.511246 || MyGene_query:LOC110386948:CYP19A1 promoter I.4::12.152972
Aromatase cytochrome P450	CYP19A1	aromatase			P11511	high	manual_alias	Manual alias override for known target name	MyGene_query:LOC110386949:CYP19A1 promoter I.7::25.687168 || MyGene_query:LOC110386951:CYP19A1 promoter II/1.3::20.19437 || MyGene_query:LOC110386947:CYP19A1 promoter I.1::19.97987 || MyGene_query:LOC110386948:CYP19A1 promoter I.4::19.36672 || MyGene_query:CYP19A1:cytochrome P450 family 19 subfamily A member 1:P11511:13.6851015
Beta-secretase 1	BACE1	Beta-secretase 1			P56817	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:BACE1:Beta-secretase 1:P56817: || MyGene_query:BACE1:beta-secretase 1:P56817:109.95328 || MyGene_query:BACE2:beta-secretase 2:Q9Y5Z0:14.693993 || MyGene_query:GSAP:gamma-secretase activating protein:A4D1B5:9.985301 || MyGene_query:APH1A:aph-1A gamma-secretase subunit:Q96BI3:8.048047
Broad substrate specificity ATP-binding cassette transporter ABCG2	ABCG2	Broad substrate specificity ATP-binding cassette transporter ABCG2			Q9UNQ0	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:ABCG2:Broad substrate specificity ATP-binding cassette transporter ABCG2:Q9UNQ0: || MyGene_query:ABCG2:ATP binding cassette subfamily G member 2 (JR blood group):Q9UNQ0:148.33025
Carbonic anhydrase 1	CA1	Carbonic anhydrase 1			P00915	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CA1:Carbonic anhydrase 1:P00915: || MyGene_query:CA1:carbonic anhydrase 1:P00915:123.28574 || MyGene_query:CA5BP1-CA5B:CA5BP1-CA5B readthrough::25.535736 || MyGene_query:CA5BP1:carbonic anhydrase 5B pseudogene 1::24.29052 || MyGene_query:CA5AP1:carbonic anhydrase 5A pseudogene 1::24.29052
Carbonic anhydrase 12	CA12	Carbonic anhydrase 12			O43570	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CA12:Carbonic anhydrase 12:O43570: || MyGene_query:CA12:carbonic anhydrase 12:O43570:145.08833 || MyGene_query:CA1:carbonic anhydrase 1:P00915:11.6524515 || MyGene_query:SLC4A1:solute carrier family 4 member 1 (Diego blood group):P02730:1.9844917
Carbonic anhydrase 2	CA2	Carbonic anhydrase 2			P00918	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CA2:Carbonic anhydrase 2:P00918: || MyGene_query:CA2:carbonic anhydrase 2:P00918:125.82654 || MyGene_query:LOC128966648:carbonic anhydrase 2-like::112.95349 || MyGene_query:CA11:carbonic anhydrase 11 (inactive):O75493:20.10525 || MyGene_query:CA15P2:CA15 pseudogene 2::14.657401
Carbonic anhydrase 3	CA3	Carbonic anhydrase 3			P07451	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CA3:Carbonic anhydrase 3:P07451: || MyGene_query:CA3:carbonic anhydrase 3:P07451:129.09184 || MyGene_query:CA8:carbonic anhydrase 8 (inactive):P35219:21.408062 || MyGene_query:CA15P3:CA15 pseudogene 3::14.27235 || MyGene_query:SLC4A1:solute carrier family 4 member 1 (Diego blood group):P02730:2.9162683
Carbonic anhydrase 4	CA4	Carbonic anhydrase 4			P22748	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CA4:Carbonic anhydrase 4:P22748: || MyGene_query:CA4:carbonic anhydrase 4:P22748:132.41191 || MyGene_query:SLC4A1:solute carrier family 4 member 1 (Diego blood group):P02730:3.1274493
Carbonic anhydrase 5A, mitochondrial	CA5A	Carbonic anhydrase 5A, mitochondrial			P35218	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CA5A:Carbonic anhydrase 5A, mitochondrial:P35218: || MyGene_query:LOC112268373:carbonic anhydrase 5A, mitochondrial-like::150.7275 || MyGene_query:CA5A:carbonic anhydrase 5A:P35218:21.035656 || MyGene_query:LOC646828:carbonic anhydrase 5A pseudogene::18.723028
Carbonic anhydrase 5B, mitochondrial	CA5B	Carbonic anhydrase 5B, mitochondrial			Q9Y2D0	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CA5B:Carbonic anhydrase 5B, mitochondrial:Q9Y2D0: || MyGene_query:CA5B:carbonic anhydrase 5B:Q9Y2D0:25.915474
Carbonic anhydrase 7	CA7	Carbonic anhydrase 7			P43166	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CA7:Carbonic anhydrase 7:P43166: || MyGene_query:CA7:carbonic anhydrase 7:P43166:138.63783
Carbonic anhydrase 9	CA9	Carbonic anhydrase 9			Q16790	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CA9:Carbonic anhydrase 9:Q16790: || MyGene_query:CA9:carbonic anhydrase 9:Q16790:142.1727
Carbonyl reductase [NADPH] 1	CBR1	Carbonyl reductase [NADPH] 1			P16152	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CBR1:Carbonyl reductase [NADPH] 1:P16152: || MyGene_query:CBR3:carbonyl reductase 3:O75828:29.176321 || MyGene_query:CBR1:carbonyl reductase 1:P16152:20.650549 || MyGene_query:CBR4:carbonyl reductase 4:Q8N4T8:16.133154 || MyGene_query:DHRS4:dehydrogenase/reductase 4:Q9BTZ2:13.566337
Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1	CTDSP1	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1			Q9GZU7	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CTDSP1:Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1:Q9GZU7: || MyGene_query:CTDSPL:CTD small phosphatase like:O15194:40.889675 || MyGene_query:CTDSP2:CTD small phosphatase 2:O14595:36.09933 || MyGene_query:CTDSP1:CTD small phosphatase 1:Q9GZU7:33.231197 || MyGene_query:CTDSPL2:CTD small phosphatase like 2:Q05D32:24.808905
Cholinesterase						ambiguous		Manual ambiguity override; target name maps to multiple possible genes	UniProt_exact_protein_name:BCHE:Cholinesterase:P06276: || UniProt_exact_protein_name:RIC3:Protein RIC-3:Q7Z5B4: || UniProt_exact_protein_name:CDK13:Cyclin-dependent kinase 13:Q14004: || MyGene_query:BCHE:butyrylcholinesterase:P06276:6.944005 || MyGene_query:RIC3:RIC3 acetylcholine receptor chaperone:Q7Z5B4:6.063323
Cocaine esterase	CES2	Cocaine esterase			O00748	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CES2:Cocaine esterase:O00748: || MyGene_query:CES2:carboxylesterase 2:O00748:5.8271976 || MyGene_query:CES1:carboxylesterase 1:P23141:5.478052 || MyGene_query:BCHE:butyrylcholinesterase:P06276:4.8051777 || MyGene_query:CES3:carboxylesterase 3:Q6UWW8:4.245712
Corticotropin-releasing factor-binding protein	CRHBP	corticotropin-releasing hormone-binding protein			P24387	high	manual_alias	Manual alias override for known target name	UniProt_exact_protein_name:CRHBP:Corticotropin-releasing hormone-binding protein:P24387: || MyGene_query:CRHBP:corticotropin releasing hormone binding protein:P24387:16.477282 || MyGene_query:CRH:corticotropin releasing hormone:P06850:15.978649 || MyGene_query:CRHR2:corticotropin releasing hormone receptor 2:Q13324:14.227257 || MyGene_query:CRHR1:corticotropin releasing hormone receptor 1:P34998:13.144324
Cytochrome P450 1A						ambiguous		Manual ambiguity override; target name maps to multiple possible genes	MyGene_query:CYP27B1:cytochrome P450 family 27 subfamily B member 1:O15528:11.025831
Cytochrome P450 1A1	CYP1A1	Cytochrome P450 1A1			P04798	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CYP1A1:Cytochrome P450 1A1:P04798: || MyGene_query:CYP1A1:cytochrome P450 family 1 subfamily A member 1:P04798:12.741724
Cytochrome P450 1B1	CYP1B1	Cytochrome P450 1B1			Q16678	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CYP1B1:Cytochrome P450 1B1:Q16678: || MyGene_query:CYP1B1:cytochrome P450 family 1 subfamily B member 1:Q16678:10.709772
