accession	geo_page	matrix_url	matrix_status	series_title	series_summary	header_lines_read	compressed_matrix_bytes	parsed_sample_count	supplementary_status	supplementary_file_count	supplementary_files	disease_terms_observed	tissue_terms_observed	inflammation_terms_observed	treatment_terms_observed	response_terms_observed	control_like_samples
GSE75214	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75214	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75214/matrix/GSE75214_series_matrix.txt.gz	available	Mucosal gene expression profiling in patients with inflammatory bowel disease study	Microarrays were used to analyze the gene expression in endoscopic-derived intestinal mucosal biopsies from patients with inflammatory bowel diseas (IBD) and controls	65	34902052	194	available	2	GSE75214_RAW.tar;filelist.txt	cd;crohn's;control;normal;uc;ulcerative colitis	biopsy;colon;colonic;mucosa;ileal;ileum	active;inflamed;normal;inactive;uninflamed			22
GSE11223	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11223	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11223/matrix/GSE11223_series_matrix.txt.gz	available	Colon biopsies from UC patients and healthy controls	Transcriptional profiling of colon epithelial biopsies from ulcerative colitis patients and healthy control donors.	138	26287524	202	available	3	GSE11223_RAW.tar;GSE11223_newPheno.txt.gz;filelist.txt	ibd;normal;uc;cd;crohn's;colitis	blood;colon;rectum;sigmoid;ileum	normal;uninflamed;inflamed	treated;therapy	remission	73
GSE59071	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59071	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59071/matrix/GSE59071_series_matrix.txt.gz	available	Mucosal gene expression profiling in patients with inflammatory bowel disease	Microarrays were used to analyze the gene expression in endoscopic-derived intestinal mucosal biopsies from patients with inflammatory bowel disease (IBD) and controls	63	20993787	116	available	2	GSE59071_RAW.tar;filelist.txt	cd;crohn's;control;normal;uc;ulcerative colitis	biopsy;colon;colonic;mucosa	active;inflamed;normal;inactive;uninflamed			11
GSE87466	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87466	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87466/matrix/GSE87466_series_matrix.txt.gz	available	Gene expression profiling of mucosal biopsies from adult patients with moderately to severely active ulcerative colitis	To acquire a better understanding of the molecular pathogenesis of adult UC, we performed mRNA microarray studies to compare gene expression of UC patients to that of normal subjects.	65	16168815	108	available	2	GSE87466_RAW.tar;filelist.txt	normal;uc;ulcerative colitis	biopsy;colon	normal			21
GSE92415	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92415	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92415/matrix/GSE92415_series_matrix.txt.gz	ERROR_URLError			0		0	available	2	GSE92415_RAW.tar;filelist.txt						0
GSE16879	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE16879	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16879/matrix/GSE16879_series_matrix.txt.gz	available	Mucosal expression profiling in patients with inflammatory bowel disease before and after first infliximab treatment	We used microarrays to identify mucosal gene signatures predictive of response to infliximab (IFX) in patients with inflammatory bowel disease (IBD) and to gain more insight into the pathogenesis of IBD.	69	13614374	133	available	2	GSE16879_RAW.tar;filelist.txt	control;uc;cd	biopsy;colon;colonic;mucosal;ileal;ileum		infliximab;treatment	response;responder;non-responder	12
GSE73661	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73661	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73661/matrix/GSE73661_series_matrix.txt.gz	available	The effect of vedolizumab (anti-α4β7-integrin) therapy on colonic mucosal gene expression in patients with ulcerative colitis (UC)	Microarrays were used to investigate the the effect of vedolizumab (VDZ) therapy on colonic mucosal gene expression in UC patients and compared the changes to those observed with infliximab (IFX) therapy.	67	32063527	178	available	2	GSE73661_RAW.tar;filelist.txt	uc;control	biopsy;colonic;mucosal	active	induction;infliximab;therapy;week;vedolizumab;placebo	endoscopic;mayo;non-responder;responder	12
GSE125527	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125527/matrix/GSE125527_series_matrix.txt.gz	HTTP_404			0		0	available	9	GSE125527_Bcell_cluster.csv.gz;GSE125527_RAW.tar;GSE125527_Tcell_cluster.csv.gz;GSE125527_UMI_cell_table_sparse.csv.gz;GSE125527_cell_id_colnames.csv.gz;GSE125527_cell_metadata.csv.gz;GSE125527_gene_id_rownames.csv.gz;GSE125527_oldPatientId-newPatientId.csv.gz;filelist.txt						0
GSE134809	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134809	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134809/matrix/GSE134809_series_matrix.txt.gz	available	Single-cell analysis of Crohn’s disease lesions identifies a pathogenic cellular module associated with resistance to anti-TNF therapy	Clinical benefits of cytokine blockade in ileal Crohn’s disease (iCD) are limited to a subset of patients. Here we applied single cell technologies to iCD lesions to address whether cellular heterogeneity contributes to treatment resistance. We found that a subset of patients expressed a unique cellular module in inflamed tissues that consisted of IgG plasma cells, inflammatory mononuclear phagocytes, activated T cells and stromal cells, which we named the GIMATS module. Analysis of ligand-recep	77	5146	31	available	2	GSE134809_RAW.tar;filelist.txt		ileal;blood;pbmc				0
GSE282580	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282580	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282580/matrix/GSE282580_series_matrix.txt.gz	available	Colon tissue gene expression associated with vedolizumab treatment effectiveness in ulcerative colitis.	Transcriptional profiling was performed on colorectal tissues, both inflammatory and non-inflammatory, collected from patients with ulcerative colitis.	65	3503	60	available	4	GSE282580_Auto_20230529_E176-00001_No.1339-1_torrent-server_1040.bcmatrix.xls.gz;GSE282580_Auto_20230529_E176-00001_No.1339-2_torrent-server_1042.bcmatrix.xls.gz;GSE282580_Auto_20230530_E176-00001_No.1340-1_torrent-server_1044.bcmatrix.xls.gz;GSE282580_Auto_20230530_E176-00001_No.1340-2_torrent-server_1046.bcmatrix.xls.gz		colonic;mucosa				0
GSE270661	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270661	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE270nnn/GSE270661/matrix/GSE270661_series_matrix.txt.gz	available	Characterisation of the regulatory landscape in Crohn’s disease reveals miRNA-associated alterations that shape anti-TNF response (CIBER-120)	MicroRNAs (miRNAs) play a key role in regulating gene expression in Crohn’s disease (CD). Although several studies have identified miRNAs with biomarker potential, an exhaustive characterisation of the miRNAome in CD is still lacking. We performed the largest miRNA profiling effort to date to analyse miRNA variability across intestinal tissues, disease activity status, and infliximab treatment in CD. We generated 120 transcriptomic profiles from terminal ileum and left colon biopsies of 30 indiv	79	7179	119	available	1	GSE270661_CIBER-120_counts.xls.gz	control;healthy;crohn;crohn's	ileum;colon	active	infliximab;treatment		40
