priority_class	priority_score	ingredient_id	ingredient_name	evidence_count	reference_count	clinical_trial_count	meta_analysis_count	matched_terms	pubchem_id	inchikey	lincs_mapping_key	cas_id	drugbank_id	identifier_status	review_note	top_evidence_titles
priority_for_lincs_mapping	55.0	HBIN021985	Curcumin	13	4	5	4	colitis;crohn;inflammatory bowel disease;ulcerative colitis	969516	VFLDPWHFBUODDF-FCXRPNKRSA-N	VFLDPWHFBUODDF-FCXRPNKRSA-N	485-37-7	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Curcumin in Pediatric Inflammatory Bowel Disease || Curcumin + Aminosalicylic Acid (5ASA) Versus 5ASA Alone in the Treatment of Mild to Moderate Ulcerative Colitis || Curcumin Associated With Thiopurin in the Prevention of Post-op Recurrence in Crohn Disease || Curcumin Supplementation as an Add on Treatment for Patients With Inflammatory Bowel Diseases Treated With Vedolizumab || Investigation of the Effects of Curcumin and Resveratrol Supplements Added to the Mediterranean Diet on Disease Severity and Inflammatory Biomarkers in Patients With Ulcerative Colitis
priority_for_lincs_mapping	41.0	HBIN017892	Berberime	10	6	1	3	colitis;enteritis;inflammatory bowel disease;ulcerative colitis	2353	YBHILYKTIRIUTE-UHFFFAOYSA-N	YBHILYKTIRIUTE-UHFFFAOYSA-N	NA	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Berberine Chloride in Preventing Colorectal Cancer in Patients With Ulcerative Colitis in Remission || Berberine alleviates intestinal mucosal barrier dysfunction and inflammation in ulcerative colitis: A systematic review and meta-analysis of animal studies || Anti-inflammatory and flora regulation of berberine in ulcerative colitis: A systematic review and meta-analysis of animal studies || Berberine for a variety of conditions: an overview of systematic reviews and meta-analysis || Pre-Administration of Berberine Exerts Chemopreventive Effects in AOM/DSS-Induced Colitis-Associated Carcinogenesis Mice via Modulating Inflammation and Intestinal Microbiota
priority_for_lincs_mapping	27.0	HBIN046831	Trans-resveratrol	6	2	1	3	colitis;crohn;enteritis;inflammatory bowel disease;ulcerative colitis	445154	LUKBXSAWLPMMSZ-OWOJBTEDSA-N	LUKBXSAWLPMMSZ-OWOJBTEDSA-N	NA	DB02709	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Investigation of the Effects of Curcumin and Resveratrol Supplements Added to the Mediterranean Diet on Disease Severity and Inflammatory Biomarkers in Patients With Ulcerative Colitis || Efficacy of resveratrol for the treatment in patients with ulcerative colitis (UC): a protocol of systematic review || Effect of resveratrol on C-reactive protein: An updated meta-analysis of randomized controlled trials || Efficacy of oral consumption of Resveratrol for symptoms improvement of Inflammatory Bowel Disease: A Systematic Review of human studies and a Meta-Analysis of Randomized Clinical Trials. || Antiviral activities of resveratrol against rotavirus in vitro and in vivo
priority_for_lincs_mapping	22.0	HBIN016606	Archin	4	4	0	0	colitis;ulcerative colitis	3220	RHMXXJGYXNZAPX-UHFFFAOYSA-N	RHMXXJGYXNZAPX-UHFFFAOYSA-N	NA	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Enhanced therapeutic efficacy of a novel colon-specific nanosystem loading emodin on DSS-induced experimental colitis || Emodin Inhibits Inflammation, Carcinogenesis, and Cancer Progression in the AOM/DSS Model of Colitis-Associated Intestinal Tumorigenesis || Synergistic effect of combined treatment with baicalin and emodin on DSS-induced colitis in mouse || Emodin targeting the colonic metabolism via PPARγ alleviates UC by inhibiting facultative anaerobe
priority_for_lincs_mapping	21.0	HBIN045672	Taxifolin	3	3	0	0	colitis;inflammatory bowel disease;ulcerative colitis	439533	CXQWRCVTCMQVQX-LSDHHAIUSA-N	CXQWRCVTCMQVQX-LSDHHAIUSA-N	480-18-2	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Dietary Taxifolin Protects Against Dextran Sulfate Sodium-Induced Colitis via NF-κB Signaling, Enhancing Intestinal Barrier and Modulating Gut Microbiota || Dihydroquercetin supplement alleviates colonic inflammation potentially through improved gut microbiota community in mice || Taxifolin Alleviates DSS-Induced Ulcerative Colitis by Acting on Gut Microbiome to Produce Butyric Acid
priority_for_lincs_mapping	20.0	HBIN034657	Melatonin	5	2	1	2	colitis;inflammatory bowel disease	896	DRLFMBDRBRZALE-UHFFFAOYSA-N	DRLFMBDRBRZALE-UHFFFAOYSA-N	73-31-4	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Effect of Melatonin on Feeding Intolerance and Incidence of Necrotizing Enterocolitis in Preterm Infants || Melatonin for treating pre-eclampsia [Cochrane Protocol] || Melatonin for preventing pre-eclampsia [Cochrane Protocol] || Melatonin ameliorates necrotizing enterocolitis by preventing Th17/Treg imbalance through activation of the AMPK/SIRT1 pathway || Melatonin Alleviates Neuroinflammation and Metabolic Disorder in DSS-Induced Depression Rats
priority_for_lincs_mapping	19.0	HBIN017136	Asperuloside	2	2	0	0	colitis;crohn;inflammatory bowel disease;ulcerative colitis	84298	IBIPGYWNOBGEMH-DILZHRMZSA-N	IBIPGYWNOBGEMH-DILZHRMZSA-N	14259-45-1	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Asperuloside suppressing oxidative stress and inflammation in DSS-induced chronic colitis and RAW 264.7 macrophages via Nrf2/HO-1 and NF-κB pathways || Asperuloside inhibited epithelial-mesenchymal transition in colitis associated cancer via activation of vitamin D receptor
priority_for_lincs_mapping	18.0	HBIN017893	Berberine	3	3	0	0	colitis;ulcerative colitis	2353	YBHILYKTIRIUTE-UHFFFAOYSA-N	YBHILYKTIRIUTE-UHFFFAOYSA-N	2086-83-1	DB04115	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Circadian pharmacological effects of berberine on chronic colitis in mice: Role of the clock component Rev-erbα || Intervention of oncostatin M-driven mucosal inflammation by berberine exerts therapeutic property in chronic ulcerative colitis || Berberine Suppresses Colonic Inflammation in Dextran Sulfate Sodium-Induced Murine Colitis Through Inhibition of Cytosolic Phospholipase A2 Activity
priority_for_lincs_mapping	18.0	HBIN020921	Cis-resveratrol	2	1	1	0	colitis;inflammatory bowel disease;ulcerative colitis	1548910	LUKBXSAWLPMMSZ-UPHRSURJSA-N	LUKBXSAWLPMMSZ-UPHRSURJSA-N	501-36-0	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Investigation of the Effects of Curcumin and Resveratrol Supplements Added to the Mediterranean Diet on Disease Severity and Inflammatory Biomarkers in Patients With Ulcerative Colitis || Role of resveratrol-induced CD11b(+) Gr-1(+) myeloid derived suppressor cells (MDSCs) in the reduction of CXCR3(+) T cells and amelioration of chronic colitis in IL-10(-/-) mice
priority_for_lincs_mapping	18.0	HBIN021795	Cryptotanshinone	3	3	0	0	colitis;ulcerative colitis	160254	GVKKJJOMQCNPGB-JTQLQIEISA-N	GVKKJJOMQCNPGB-JTQLQIEISA-N	35825-57-1	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Cryptotanshinone protects dextran sulfate sodium-induced experimental ulcerative colitis in mice by inhibiting intestinal inflammation || Cryptotanshinone alleviates chemotherapy-induced colitis in mice with colon cancer via regulating fecal-bacteria-related lipid metabolism || Cryptotanshinone ameliorates dextran sulfate sodium-induced murine acute and chronic ulcerative colitis via suppressing STAT3 activation and Th17 cell differentiation
priority_for_lincs_mapping	18.0	HBIN042199	Rhein	3	3	0	0	colitis;ulcerative colitis	10168	FCDLCPWAQCPTKC-UHFFFAOYSA-N	FCDLCPWAQCPTKC-UHFFFAOYSA-N	478-43-3	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Rhein regulates redox-mediated activation of NLRP3 inflammasomes in intestinal inflammation through macrophage-activated crosstalk || Anti-inflammatory effect of Rhein on ulcerative colitis via inhibiting PI3K/Akt/mTOR signaling pathway and regulating gut microbiota || The effects of rhein on D-GalN/LPS-induced acute liver injury in mice: Results from gut microbiome-metabolomics and host transcriptome analysis
priority_for_lincs_mapping	17.0	HBIN018512	Bilobalide	2	2	0	0	colitis;inflammatory bowel disease;ulcerative colitis	73581	MOLPUWBMSBJXER-YDGSQGCISA-N	MOLPUWBMSBJXER-YDGSQGCISA-N	33570-04-6	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Bilobalide Alleviated Dextran Sulfate Sodium-Induced Experimental Colitis by Inhibiting M1 Macrophage Polarization Through the NF-κB Signaling Pathway || The alleviating effect and mechanism of Bilobalide on ulcerative colitis
