disease_id	disease_name	matched_terms	match_score	mesh_id	do_id	icd10_id	alias
HBDIS000615	Colitis	colitis;enteritis	6.0	D003092	60189; 60190; 2326; 60180	NA	Gastroenteritis; Colitis; Ileocolitis; Ileitis
HBDIS000616	Ulcerative Colitis	colitis;crohn;inflammatory bowel disease;ulcerative colitis	12.0	D003093	8577; 110892	K51.9; K51	Colitis Ulcerosa; Colitis, Ulcerative; Inflammatory Bowel Disease 1; Crohn Disease; Ulcerative Colitis, Unspecified; Inflammatory Bowel Disease (Crohn Disease) 1; Ulcerative Colitis
HBDIS000686	Crohn Disease	colitis;crohn;enteritis;inflammatory bowel disease;ulcerative colitis	15.0	D003424	60192; 8778; 110892	K50.9; K50	Ileocolitis; Colitis, Granulomatous; Morbus Crohn; Granulomatous Enteritis And Colitis; Crohn'S Disease; Crohn'S Colitis; Inflammatory Bowel Disease 1; Crohn Disease; Crohn'S Disease [Regional Enteritis]; Inflammatory Bowel Disease (Crohn Disease) 1; Ileitis, Regional; Enteritis, Regional; Crohn'S Disease, Unspecified; Ulcerative Colitis
HBDIS000847	Amebic Colitis	colitis	3.0	D004404	NA	NA	Dysentery, Amebic; Colitis, Amebic
HBDIS000937	Enteritis	colitis;enteritis	6.0	D004751	60189; 60190; 2326; 60180	NA	Ileocolitis; Colitis; Ileitis; Gastroenteritis; Enteritis
HBDIS000939	Enterocolitis	colitis	3.0	D004760	NA	NA	Enterocolitis
HBDIS001136	Gastroenteritis	colitis;enteritis	6.0	D005759	60189; 60190; 2326; 60180	NA	Gastroenteritis; Colitis; Ileocolitis; Ileitis
HBDIS001137	Gastroenteritis, Transmissible, of Swine	enteritis	3.0	D005761	NA	NA	Gastroenteritis, Transmissible, of Swine
HBDIS001139	Gastrointestinal Diseases	enteritis	3.0	D005767	2326; 77	NA	Cholera Infantum; Digestive System Disease; Gastrointestinal System Disease; Gastrointestinal Disease; Gastroenteritis; Gastrointestinal Diseases; Abnormality of The Gastrointestinal Tract; Functional Gastrointestinal Disorders
HBDIS001515	Ileitis	colitis;enteritis	6.0	D007079	60189; 60190; 2326; 60180	NA	Gastroenteritis; Colitis; Ileocolitis; Ileitis
HBDIS001540	Infectious Enteritis	enteritis	3.0	NA	NA	NA	NA
HBDIS001548	Inflammatory Bowel Diseases	inflammatory bowel disease	3.0	D015212	50589	NA	Inflammation of The Large Intestine; Inflammatory Bowel Diseases; Inflammatory Bowel Disease
HBDIS001931	Mesenteric Panniculitis	enteritis	3.0	D015436	NA	NA	Mesenteric Panniculitis; Retractile Mesenteritis
HBDIS002482	Proctitis	proctitis	3.0	D011349	3127	NA	Proctitis
