ingredient_id	ingredient_name	alias	evidence_count	reference_count	clinical_trial_count	meta_analysis_count	matched_terms	pubchem_id	inchikey	canonical_smiles	cas_id	drugbank_id	identifier_status	top_evidence_titles
HBIN048048	Vitamin d	24,25-Dihydroxyvitamin D; (3R,6R)-6-[(1R,3aS,7aR)-4-[2-[(5S)-5-hydroxy-2-methylidenecyclohexylidene]ethylidene]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-1-yl]-2-methylheptane-2,3-diol; (6R)-6-[(1R,3aS,4E,7aR)-4-[(2Z)-2-[(5R)-5-hydroxy-2-methylidenecyclohexylidene]ethylidene]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-1-yl]-2-methylheptane-2,3-diol; 24,25-dihydroxyvitamin D3; 24,25-Dihydroxycholecalciferol; 24,25-dihydroxyvitamin; CHEBI:89324; Q27161510; (3b,5Z,7E)-9,10-Secocholesta-5,7,10(19)-triene-3,24,25-triol; (6R)-6-[(1R,3aS,4E,7aR)-4-{2-[(1Z,5R)-5-hydroxy-2-methylidenecyclohexylidene]ethylidene}-7a-methyl-octahydro-1H-inden-1-yl]-2-methylheptane-2,3-diol	29	0	1	28	colitis;crohn;inflammatory bowel disease;ulcerative colitis	12895043	FCKJYANJHNLEEP-OIMXRAFZSA-N	CC(CCC(C(C)(C)O)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C	NA	DB11094	pubchem_and_inchikey	Oral Nano Vitamin D Supplementation Efficacy in Inflammatory Bowel Disease || The relationship between vitamin D deficiency and ethnicity in the adult population: a systematic review of the prevalence of hypovitaminosis D || The impact of vitamin D supplementation on fractures, falls and mortality: an umbrella review of systematic reviews and meta-analyses of randomized controlled trials || Effect of vitamin D supplementation on patient reported outcomes in patients with inflammatory bowel disease: a systematic review || A CompaRative Meta-Analysis of Treating Autoimmune Thyroiditis Using Vitamin D, Selenium or Both
HBIN040799	Progesterone	57-83-0; Pregn-4-ene-3,20-dione; Agolutin; Crinone; 4-Pregnene-3,20-dione; Prometrium; Utrogestan; Progestin; Luteol	19	0	0	19	colitis	5994	RJKFOVLPORLFTN-LEKSSAKUSA-N	CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C	257630-50-5	DB00396	pubchem_and_inchikey	Combinations of progesterone, cerclage and/or pessary for primary prevention of preterm birth: a systematic review and meta-analysis || The effect of vaginal progesterone on preventing preterm birth and target population which would benefit: a meta-analysis || A systematic review and meta-analysis of the effectiveness of combined progesterone and cervical cerclage in preventing preterm birth || Oral progesterone for the prevention of recurrent preterm birth: a systematic review and meta-analysis || Progesterone, cerclage and pessary for primary prevention of preterm birth: a systematic review and network meta-analysis
HBIN021985	Curcumin	458-37-7; Diferuloylmethane; Natural yellow 3; Kacha haldi; Indian saffron; Curcuma; Gelbwurz; Haldar; Curcumin I	13	4	5	4	colitis;crohn;inflammatory bowel disease;ulcerative colitis	969516	VFLDPWHFBUODDF-FCXRPNKRSA-N	COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O	485-37-7	NA	pubchem_and_inchikey	Curcumin in Pediatric Inflammatory Bowel Disease || Curcumin + Aminosalicylic Acid (5ASA) Versus 5ASA Alone in the Treatment of Mild to Moderate Ulcerative Colitis || Curcumin Associated With Thiopurin in the Prevention of Post-op Recurrence in Crohn Disease || Curcumin Supplementation as an Add on Treatment for Patients With Inflammatory Bowel Diseases Treated With Vedolizumab || Investigation of the Effects of Curcumin and Resveratrol Supplements Added to the Mediterranean Diet on Disease Severity and Inflammatory Biomarkers in Patients With Ulcerative Colitis
HBIN017892	Berberime	berberine; 2086-83-1; Umbellatine; Berberin; Berbericine; Majarine; Thalsine; Umbellatin; Berberone; 9,10-Dimethoxy-5,6-dihydro-[1,3]dioxolo[4,5-g]isoquinolino[3,2-a]isoquinolin-7-ium	10	6	1	3	colitis;enteritis;inflammatory bowel disease;ulcerative colitis	2353	YBHILYKTIRIUTE-UHFFFAOYSA-N	COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC	NA	NA	pubchem_and_inchikey	Berberine Chloride in Preventing Colorectal Cancer in Patients With Ulcerative Colitis in Remission || Berberine alleviates intestinal mucosal barrier dysfunction and inflammation in ulcerative colitis: A systematic review and meta-analysis of animal studies || Anti-inflammatory and flora regulation of berberine in ulcerative colitis: A systematic review and meta-analysis of animal studies || Berberine for a variety of conditions: an overview of systematic reviews and meta-analysis || Pre-Administration of Berberine Exerts Chemopreventive Effects in AOM/DSS-Induced Colitis-Associated Carcinogenesis Mice via Modulating Inflammation and Intestinal Microbiota
HBIN019307	Caffeine	58-08-2; Guaranine; 1,3,7-Trimethylxanthine; Methyltheobromine; Theine; Thein; Cafeina; Koffein; Mateina	6	0	1	5	colitis	2519	RYYVLZVUVIJVGH-UHFFFAOYSA-N	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	71701-02-5	NA	pubchem_and_inchikey	the Incidence of Necrotizing Enterocolitis in Preterm With Respiratory Distress Syndrome Undergoing Caffeine Therapy || Optimizing caffeine use and risk of bronchopulmonary dysplasia in preterm infants: a systematic review, meta-analysis and application of GRADE methodology || High versus low dose caffeine in preterm infants: a systematic review and meta-analysis || Early versus late caffeine to improve morbidity and mortality in preterm infants: a systematic review || Maternal antenatal methylxanthine (including caffeine) treatment for improving preterm outcomes [Cochrane protocol]
HBIN046831	Trans-resveratrol	resveratrol; 501-36-0; 3,4',5-Trihydroxystilbene; (E)-5-(4-Hydroxystyryl)benzene-1,3-diol; 3,5,4'-Trihydroxystilbene; (E)-resveratrol; Resvida; 3,4',5-Stilbenetriol; 5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol	6	2	1	3	colitis;crohn;enteritis;inflammatory bowel disease;ulcerative colitis	445154	LUKBXSAWLPMMSZ-OWOJBTEDSA-N	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O	NA	DB02709	pubchem_and_inchikey	Investigation of the Effects of Curcumin and Resveratrol Supplements Added to the Mediterranean Diet on Disease Severity and Inflammatory Biomarkers in Patients With Ulcerative Colitis || Efficacy of resveratrol for the treatment in patients with ulcerative colitis (UC): a protocol of systematic review || Effect of resveratrol on C-reactive protein: An updated meta-analysis of randomized controlled trials || Efficacy of oral consumption of Resveratrol for symptoms improvement of Inflammatory Bowel Disease: A Systematic Review of human studies and a Meta-Analysis of Randomized Clinical Trials. || Antiviral activities of resveratrol against rotavirus in vitro and in vivo
HBIN034657	Melatonin	73-31-4; Melatonine; N-Acetyl-5-methoxytryptamine; Circadin; N-[2-(5-Methoxy-1H-indol-3-yl)ethyl]acetamide; 5-Methoxy-N-acetyltryptamine; N-(2-(5-Methoxy-1H-indol-3-yl)ethyl)acetamide; Melatol; Melovine	5	2	1	2	colitis;inflammatory bowel disease	896	DRLFMBDRBRZALE-UHFFFAOYSA-N	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC	73-31-4	NA	pubchem_and_inchikey	Effect of Melatonin on Feeding Intolerance and Incidence of Necrotizing Enterocolitis in Preterm Infants || Melatonin for treating pre-eclampsia [Cochrane Protocol] || Melatonin for preventing pre-eclampsia [Cochrane Protocol] || Melatonin ameliorates necrotizing enterocolitis by preventing Th17/Treg imbalance through activation of the AMPK/SIRT1 pathway || Melatonin Alleviates Neuroinflammation and Metabolic Disorder in DSS-Induced Depression Rats
HBIN044721	Starch	alpha-Maltose; maltose; 4482-75-1; Thyodene; 9005-84-9; Glcalpha1-4Glca; Glcalpha1-4Glcalpha; alpha-D-Glucopyranose, 4-o-alpha-D-glucopyranosyl-; 15SUG9AD26; (2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol	5	0	0	5	colitis;crohn;inflammatory bowel disease;ulcerative colitis	439341	GUBGYTABKSRVRQ-ASMJPISFSA-N	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O	NA	NA	pubchem_and_inchikey	Effects of resistant starch intake on glucose metabolism, a systematic review and meta-analysis of randomized controlled trials || Effects of resistant starch intake on inflammation markers, a systematic review and meta-analysis of randomized controlled trials || The effects of resistant starch on individuals with inflammatory bowel disease: a systematic review and meta-analysis || The effects of resistant starches within in-vivo models of inflammatory bowel disease: A systematic review and meta-analysis || Tolerability of resistant starch in pediatrics and adolescents: a protocol for a systematic review and meta-analysis of randomized controlled trials
HBIN010825	4-pregnene-17α,20β,21-triol-3,11-dione	hydrocortisone; Cortisol; 50-23-7; Acticort; Cetacort; Cortef; Hydrasson; Hydrocortisyl; Hydrocortone; Cobadex	4	0	1	3	colitis;proctitis	5754	JYGXADMDTFJGBT-VWUMJDOOSA-N	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O	NA	NA	pubchem_and_inchikey	Phase 3 Study to Evaluate the Safety and Efficacy of Hydrocortisone Acetate Suppositories || Efficacy and safety of systemic hydrocortisone for the prevention of chronic lung disease: a systematic review and meta-analysis || Efficacy and safety of low-dose versus high-dose hydrocortisone to treat hypotension in neonates || Efficacy and safety of systemic hydrocortisone for the prevention of bronchopulmonary dysplasia in preterm infants: a systematic review and meta-analysis
HBIN016606	Archin	emodin; 518-82-1; Emodol; Frangula emodin; Schuttgelb; 1,3,8-trihydroxy-6-methylanthracene-9,10-dione; Rheum emodin; Frangulic acid; 3-Methyl-1,6,8-trihydroxyanthraquinone	4	4	0	0	colitis;ulcerative colitis	3220	RHMXXJGYXNZAPX-UHFFFAOYSA-N	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O	NA	NA	pubchem_and_inchikey	Enhanced therapeutic efficacy of a novel colon-specific nanosystem loading emodin on DSS-induced experimental colitis || Emodin Inhibits Inflammation, Carcinogenesis, and Cancer Progression in the AOM/DSS Model of Colitis-Associated Intestinal Tumorigenesis || Synergistic effect of combined treatment with baicalin and emodin on DSS-induced colitis in mouse || Emodin targeting the colonic metabolism via PPARγ alleviates UC by inhibiting facultative anaerobe
