priority_class	priority_score	ingredient_id	ingredient_name	pubchem_id	inchikey	match_status	match_method	lincs_source	pert_id	pert_iname	pert_type	gse92742_signature_count	gse92742_cell_count	gse92742_cells
priority_for_lincs_mapping	55.0	HBIN021985	Curcumin	969516	VFLDPWHFBUODDF-FCXRPNKRSA-N	covered	inchikey_exact	GSE92742	BRD-K07572174	curcumin	trt_cp	0	0	
priority_for_lincs_mapping	55.0	HBIN021985	Curcumin	969516	VFLDPWHFBUODDF-FCXRPNKRSA-N	covered	inchikey_exact	GSE70138	BRD-K07572174	curcumin	trt_cp	0	0	
priority_for_lincs_mapping	41.0	HBIN017892	Berberime	2353	YBHILYKTIRIUTE-UHFFFAOYSA-N	covered	inchikey_exact	GSE70138	BRD-K14796088	berberine	trt_cp	0	0	
priority_for_lincs_mapping	27.0	HBIN046831	Trans-resveratrol	445154	LUKBXSAWLPMMSZ-OWOJBTEDSA-N	covered	inchikey_exact	GSE92742	BRD-K80738081	resveratrol	trt_cp	0	0	
priority_for_lincs_mapping	27.0	HBIN046831	Trans-resveratrol	445154	LUKBXSAWLPMMSZ-OWOJBTEDSA-N	covered	inchikey_exact	GSE70138	BRD-K80738081	resveratrol	trt_cp	0	0	
priority_for_lincs_mapping	22.0	HBIN016606	Archin	3220	RHMXXJGYXNZAPX-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K58685305	emodin	trt_cp	0	0	
priority_for_lincs_mapping	21.0	HBIN045672	Taxifolin	439533	CXQWRCVTCMQVQX-LSDHHAIUSA-N	covered	inchikey_exact	GSE92742	BRD-K94649603	taxifolin	trt_cp	0	0	
priority_for_lincs_mapping	20.0	HBIN034657	Melatonin	896	DRLFMBDRBRZALE-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K97530723	melatonin	trt_cp	0	0	
priority_for_lincs_mapping	20.0	HBIN034657	Melatonin	896	DRLFMBDRBRZALE-UHFFFAOYSA-N	covered	inchikey_exact	GSE70138	BRD-K97530723	melatonin	trt_cp	0	0	
priority_for_lincs_mapping	19.0	HBIN017136	Asperuloside	84298	IBIPGYWNOBGEMH-DILZHRMZSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
priority_for_lincs_mapping	18.0	HBIN017893	Berberine	2353	YBHILYKTIRIUTE-UHFFFAOYSA-N	covered	inchikey_exact	GSE70138	BRD-K14796088	berberine	trt_cp	0	0	
priority_for_lincs_mapping	18.0	HBIN020921	Cis-resveratrol	1548910	LUKBXSAWLPMMSZ-UPHRSURJSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
priority_for_lincs_mapping	18.0	HBIN021795	Cryptotanshinone	160254	GVKKJJOMQCNPGB-JTQLQIEISA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
priority_for_lincs_mapping	18.0	HBIN042199	Rhein	10168	FCDLCPWAQCPTKC-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
priority_for_lincs_mapping	17.0	HBIN018512	Bilobalide	73581	MOLPUWBMSBJXER-YDGSQGCISA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
priority_for_lincs_mapping	17.0	HBIN029531	Honokiol	72303	FVYXIJYOAGAUQK-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K98493452	honokiol	trt_cp	0	0	
priority_for_lincs_mapping	17.0	HBIN029531	Honokiol	72303	FVYXIJYOAGAUQK-UHFFFAOYSA-N	covered	inchikey_exact	GSE70138	BRD-K98493452	honokiol	trt_cp	0	0	
priority_for_lincs_mapping	17.0	HBIN030442	Isoarnebin 4	479503	NEZONWMXZKDMKF-SNVBAGLBSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
priority_for_lincs_mapping	17.0	HBIN034558	Matrine	91466	ZSBXGIUJOOQZMP-JLNYLFASSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
priority_for_lincs_mapping	17.0	HBIN038606	Paeoniflorin	442534	YKRGDOXKVOZESV-WRJNSLSBSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
priority_for_lincs_mapping	17.0	HBIN040403	Polydatin	5281718	HSTZMXCBWJGKHG-CUYWLFDKSA-N	covered	inchikey_exact	GSE92742	BRD-K43236057	polydatin	trt_cp	0	0	
priority_for_lincs_mapping	17.0	HBIN041495	Quercetin	5280343	REFJWTPEDVJJIY-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K97399794	quercetin	trt_cp	0	0	
priority_for_lincs_mapping	17.0	HBIN041495	Quercetin	5280343	REFJWTPEDVJJIY-UHFFFAOYSA-N	covered	inchikey_exact	GSE70138	BRD-K97399794	quercetin	trt_cp	0	0	
priority_for_lincs_mapping	17.0	HBIN048372	Wogonin	5281703	XLTFNNCXVBYBSX-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
priority_for_lincs_mapping	16.0	HBIN048442	Xanthohumol	639665	ORXQGKIUCDPEAJ-YRNVUSSQSA-N	covered	inchikey_exact	GSE92742	BRD-K77390737	xanthohumol	trt_cp	0	0	
priority_for_lincs_mapping	15.0	HBIN044493	Spermidine	1102	ATHGHQPFGPMSJY-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K40438880	spermidine	trt_cp	0	0	
priority_for_lincs_mapping	14.0	HBIN018800	Brahmic acid	73412	PRAUVHZJPXOEIF-AOLYGAPISA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
priority_for_lincs_mapping	14.0	HBIN019690	Capsaicin	1548943	YKPUWZUDDOIDPM-SOFGYWHQSA-N	covered	inchikey_exact	GSE92742	BRD-K50590187	capsaicin	trt_cp	0	0	
priority_for_lincs_mapping	14.0	HBIN019690	Capsaicin	1548943	YKPUWZUDDOIDPM-SOFGYWHQSA-N	covered	inchikey_exact	GSE70138	BRD-K50590187	capsaicin	trt_cp	0	0	
priority_for_lincs_mapping	14.0	HBIN027450	Geniposide	107848	IBFYXTRXDNAPMM-BVTMAQQCSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
priority_for_lincs_mapping	13.0	HBIN015751	Alpinetin	154279	QQQCWVDPMPFUGF-ZDUSSCGKSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
priority_for_lincs_mapping	13.0	HBIN025006	Ellagic acid	5281855	AFSDNFLWKVMVRB-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K30466858	ellagic-acid	trt_cp	0	0	
priority_for_lincs_mapping	13.0	HBIN025006	Ellagic acid	5281855	AFSDNFLWKVMVRB-UHFFFAOYSA-N	covered	inchikey_exact	GSE70138	BRD-K30466858	ellagic-acid	trt_cp	0	0	
