query_direction	gene_symbol	gene_title	evidence_groups	mean_log2fc	best_fdr	consensus_score
up	SLC6A14	solute carrier family 6 member 14	GPL13158_uc_colon;GPL6244_active_uc_colon	5.3627	2.66375e-11	10.7254
up	MMP3	matrix metallopeptidase 3	GPL13158_uc_colon;GPL6244_active_uc_colon	4.95087	6.10704e-16	9.90174
up	DUOX2	dual oxidase 2	GPL13158_uc_colon;GPL6244_active_uc_colon	4.62781	4.45328e-10	9.25561
up	CHI3L1	chitinase 3 like 1	GPL13158_uc_colon;GPL6244_active_uc_colon	4.2248	1.53378e-15	8.4496
up	REG1A	regenerating family member 1 alpha	GPL13158_uc_colon;GPL6244_active_uc_colon	4.16969	1.72152e-05	8.33939
up	TNIP3	TNFAIP3 interacting protein 3	GPL13158_uc_colon;GPL6244_active_uc_colon	4.10081	5.60414e-29	8.20162
up	S100A8	S100 calcium binding protein A8	GPL13158_uc_colon;GPL6244_active_uc_colon	4.09886	7.40018e-20	8.19772
up	REG3A	regenerating family member 3 alpha	GPL13158_uc_colon;GPL6244_active_uc_colon	3.85329	1.64563e-07	7.70658
up	REG1B	regenerating family member 1 beta	GPL13158_uc_colon;GPL6244_active_uc_colon	3.82744	2.08635e-06	7.65487
up	DUOXA2	dual oxidase maturation factor 2	GPL13158_uc_colon;GPL6244_active_uc_colon	3.78093	3.62002e-21	7.56187
up	VNN1	vanin 1	GPL13158_uc_colon;GPL6244_active_uc_colon	3.72317	1.07812e-10	7.44634
up	SAA2	serum amyloid A2	GPL13158_uc_colon;GPL6244_active_uc_colon	3.67694	2.59844e-20	7.35389
up	IDO1	indoleamine 2,3-dioxygenase 1	GPL13158_uc_colon;GPL6244_active_uc_colon	3.64299	7.23709e-18	7.28598
up	CXCL1	C-X-C motif chemokine ligand 1	GPL13158_uc_colon;GPL6244_active_uc_colon	3.63465	1.88918e-17	7.26931
up	CXCL8	C-X-C motif chemokine ligand 8	GPL13158_uc_colon;GPL6244_active_uc_colon	3.53596	2.75847e-17	7.07192
up	MMP1	matrix metallopeptidase 1	GPL13158_uc_colon;GPL6244_active_uc_colon	3.49179	5.59823e-10	6.98359
up	AQP9	aquaporin 9	GPL13158_uc_colon;GPL6244_active_uc_colon	3.37809	4.33313e-26	6.75618
up	TCN1	transcobalamin 1	GPL13158_uc_colon;GPL6244_active_uc_colon	3.37597	1.4085e-32	6.75195
up	IL1B	interleukin 1 beta	GPL13158_uc_colon;GPL6244_active_uc_colon	3.3754	2.21751e-19	6.75081
up	SERPINB5	serpin family B member 5	GPL13158_uc_colon;GPL6244_active_uc_colon	3.30745	3.38225e-08	6.6149
up	LCN2	lipocalin 2	GPL13158_uc_colon;GPL6244_active_uc_colon	3.18023	1.67342e-08	6.36046
up	MMP7	matrix metallopeptidase 7	GPL13158_uc_colon;GPL6244_active_uc_colon	2.98376	3.48075e-25	5.96751
up	KYNU	kynureninase	GPL13158_uc_colon;GPL6244_active_uc_colon	2.91714	5.58415e-15	5.83428
up	FCGR3B	Fc fragment of IgG receptor IIIb	GPL13158_uc_colon;GPL6244_active_uc_colon	2.90231	3.00083e-14	5.80462
up	MMP12	matrix metallopeptidase 12	GPL13158_uc_colon;GPL6244_active_uc_colon	2.89752	6.55105e-08	5.79504
up	PTGS2	prostaglandin-endoperoxide synthase 2	GPL13158_uc_colon;GPL6244_active_uc_colon	2.89001	6.03791e-11	5.78002
up	SERPINA3	serpin family A member 3	GPL13158_uc_colon;GPL6244_active_uc_colon	2.86608	7.01185e-28	5.73216
up	MMP10	matrix metallopeptidase 10	GPL13158_uc_colon;GPL6244_active_uc_colon	2.84809	1.10149e-26	5.69619
up	CXCL11	C-X-C motif chemokine ligand 11	GPL13158_uc_colon;GPL6244_active_uc_colon	2.83551	3.36755e-20	5.67102
up	TNC	tenascin C	GPL13158_uc_colon;GPL6244_active_uc_colon	2.82474	1.86364e-19	5.64948
up	HCAR3	hydroxycarboxylic acid receptor 3	GPL13158_uc_colon;GPL6244_active_uc_colon	2.73939	1.62656e-24	5.47878
up	VSIG1	V-set and immunoglobulin domain containing 1	GPL13158_uc_colon;GPL6244_active_uc_colon	2.73914	1.44574e-32	5.47827
up	CDH3	cadherin 3	GPL13158_uc_colon;GPL6244_active_uc_colon	2.71683	6.9475e-19	5.43366
up	ABCA12	ATP binding cassette subfamily A member 12	GPL13158_uc_colon;GPL6244_active_uc_colon	2.70745	1.0267e-36	5.4149
up	KLK10	kallikrein related peptidase 10	GPL13158_uc_colon;GPL6244_active_uc_colon	2.6872	1.05401e-22	5.3744
up	CXCL10	C-X-C motif chemokine ligand 10	GPL13158_uc_colon;GPL6244_active_uc_colon	2.66411	3.16339e-09	5.32821
up	SERPINB3	serpin family B member 3	GPL13158_uc_colon;GPL6244_active_uc_colon	2.60825	4.66781e-19	5.21651
up	PI3	peptidase inhibitor 3	GPL13158_uc_colon;GPL6244_active_uc_colon	2.58435	1.01929e-08	5.16871
up	CXCL9	C-X-C motif chemokine ligand 9	GPL13158_uc_colon;GPL6244_active_uc_colon	2.57349	8.86346e-13	5.14698
up	TIMP1	TIMP metallopeptidase inhibitor 1	GPL13158_uc_colon;GPL6244_active_uc_colon	2.53568	2.84382e-15	5.07137
up	S100A12	S100 calcium binding protein A12	GPL13158_uc_colon;GPL6244_active_uc_colon	2.52592	1.12652e-19	5.05184
up	UBD	ubiquitin D	GPL13158_uc_colon;GPL6244_active_uc_colon	2.51885	4.44162e-18	5.0377
up	SERPINB7	serpin family B member 7	GPL13158_uc_colon;GPL6244_active_uc_colon	2.49003	2.83093e-20	4.98007
up	DMBT1	deleted in malignant brain tumors 1	GPL13158_uc_colon;GPL6244_active_uc_colon	2.48838	3.51251e-07	4.97675
up	CXCL13	C-X-C motif chemokine ligand 13	GPL13158_uc_colon;GPL6244_active_uc_colon	2.47466	2.45661e-05	4.94933
up	CEMIP	cell migration inducing hyaluronan binding protein	GPL13158_uc_colon;GPL6244_active_uc_colon	2.47236	7.09406e-20	4.94472
up	DEFA5	defensin alpha 5	GPL13158_uc_colon;GPL6244_active_uc_colon	2.46136	5.16612e-06	4.92273
up	PROK2	prokineticin 2	GPL13158_uc_colon;GPL6244_active_uc_colon	2.45093	1.53518e-23	4.90186
up	NOS2	nitric oxide synthase 2	GPL13158_uc_colon;GPL6244_active_uc_colon	2.45003	6.55524e-13	4.90006
up	TNFAIP6	TNF alpha induced protein 6	GPL13158_uc_colon;GPL6244_active_uc_colon	2.44325	1.00148e-13	4.88651
