tissue_assignment	disease_assignment	celltype_detail	n_cells	mean_up_score	median_up_score	mean_down_score	median_down_score	mean_disease_axis_score	median_disease_axis_score	mean_up_detected	median_up_detected	mean_down_detected	median_down_detected	mean_total_umi	median_total_umi
R	diseased	B:B1	750	4.55157	4.55656	0.479099	0	4.07247	4.04005	6.676	6	0.538667	0	6123.52	5659.5
R	diseased	B:B10	63	4.29083	4.24088	0.350438	0	3.9404	3.98148	6.4127	6	0.460317	0	7320.48	6893
R	diseased	B:B11	50	4.16263	4.13501	0.53799	0.258559	3.62464	3.54178	6.56	7	0.64	0.5	7428.94	7571.5
R	diseased	B:B12	39	4.05233	4.03864	0.541075	0	3.51126	3.67408	5.17949	5	0.410256	0	3987.59	2948
R	diseased	B:B13	36	4.64084	4.59565	0.269952	0	4.37089	4.41554	6	6	0.222222	0	4242.28	4654.5
R	diseased	B:B14	40	4.76026	4.79882	0.633687	0	4.12657	4.14943	7.675	7.5	0.7	0	4908.4	4734
R	diseased	B:B15	47	4.3812	4.38501	0.366644	0	4.01456	3.9118	6.40426	6	0.382979	0	6713.04	6862
R	diseased	B:B16	46	4.58083	4.64452	0.340168	0	4.24066	4.34815	6.06522	6	0.326087	0	5358.33	5308
R	diseased	B:B17	19	4.34543	4.33911	0.703127	0.847755	3.6423	3.66122	6.15789	6	0.789474	1	6582.16	6213
R	diseased	B:B2	853	4.49823	4.50342	0.474695	0	4.02353	4.26492	7.9789	8	0.341149	0	2629.38	2461
R	diseased	B:B3	56	4.7778	4.81988	0.352576	0	4.42522	4.74682	6.42857	6.5	0.196429	0	1601.46	1477.5
R	diseased	B:B4	515	4.30066	4.28858	0.343816	0	3.95684	4.19158	5.88932	6	0.196117	0	1843.95	1828
R	diseased	B:B5	152	4.42233	4.50412	0.485449	0	3.93688	4.2721	7.85526	8	0.375	0	2920.07	2530
R	diseased	B:B6	29	4.42823	4.27301	0.511434	0	3.91679	3.78558	6.89655	7	0.689655	0	7238.79	7239
R	diseased	B:B7	75	4.36335	4.38228	0.41607	0	3.94728	3.95454	4.68	4	0.306667	0	2961.04	2670
R	diseased	B:B8	566	4.87758	4.909	0.422729	0	4.45485	4.72475	8.53357	8	0.293286	0	2440.53	2247
R	diseased	B:B9	14	4.89793	4.80914	0.48806	0	4.40987	4.6649	9.14286	9.5	0.285714	0	2571.71	2502.5
R	diseased	M/DC	201	5.01427	5.02552	0.550372	0	4.46389	4.58398	16.8806	17	0.59204	0	5080.35	4684
R	diseased	NK	261	4.83519	4.82607	1.2109	1.59991	3.62429	3.52416	6.81226	7	0.812261	1	2261.85	2069
R	diseased	T:T1	520	4.70997	4.79906	0.577329	0	4.13264	4.42776	4.90192	5	0.301923	0	1424.24	1271.5
R	diseased	T:T10	590	4.73689	4.75394	0.792297	0	3.94459	4.38748	5.90847	6	0.483051	0	1709.63	1574.5
R	diseased	T:T11	20	4.43825	4.28377	0.765902	0	3.67235	3.59301	6.25	6	0.55	0	2909.8	2584.5
R	diseased	T:T12	14	4.54933	4.65452	1.22892	1.68024	3.32042	3.05092	5.42857	5.5	1	1	2462.14	2062.5
R	diseased	T:T13	3	3.69001	3.8014	0.656944	0	3.03306	3.8014	6.66667	6	0.333333	0	2810	3238
R	diseased	T:T14	85	4.472	4.54185	0.918448	0	3.55355	3.64258	5.98824	6	0.682353	0	2337.91	2188
R	diseased	T:T15	6	4.87172	4.8033	0.63689	0	4.23483	4.32737	7.83333	6.5	0.5	0	2610.67	2794.5
R	diseased	T:T16	9	4.21627	4.3444	0.446973	0	3.7693	4.3444	5.66667	5	0.333333	0	2396.33	2104
R	diseased	T:T2	878	4.99551	5.02037	0.956429	1.13167	4.03908	4.01242	7.42938	7	0.681093	1	2424.88	2197.5
R	diseased	T:T3	68	4.52016	4.67302	0.662545	0	3.85762	3.90471	5.29412	5	0.367647	0	2357.66	1939
R	diseased	T:T4	48	4.50731	4.53927	0.479031	0	4.02828	4.32006	4.10417	4	0.25	0	1563.92	1267.5
R	diseased	T:T5	1176	4.40625	4.4797	0.680487	0	3.72576	3.95055	5.07313	5	0.439626	0	1939.09	1726
R	diseased	T:T6	19	4.44136	4.69861	0.666097	0	3.77526	3.95697	5.68421	6	0.578947	0	2418.89	2353
