tissue_assignment	disease_assignment	celltype	n_cells	mean_up_score	median_up_score	mean_down_score	median_down_score	mean_disease_axis_score	median_disease_axis_score	mean_up_detected	median_up_detected	mean_down_detected	median_down_detected	mean_total_umi	median_total_umi
R	diseased	B	3350	4.53235	4.55364	0.4413	0	4.09105	4.25326	7.18299	7	0.369552	0	3639.49	2596.5
R	diseased	M/DC	201	5.01427	5.02552	0.550372	0	4.46389	4.58398	16.8806	17	0.59204	0	5080.35	4684
R	diseased	NK	261	4.83519	4.82607	1.2109	1.59991	3.62429	3.52416	6.81226	7	0.812261	1	2261.85	2069
R	diseased	T	4237	4.58989	4.65899	0.755823	0	3.83407	4.06665	5.8296	6	0.490913	0	1954.12	1744
R	diseased	unknown	10593	4.57757	4.61787	0.656992	0	3.92058	4.16236	6.03059	6	0.448126	0	2497.51	1805
R	healthy	B	1425	4.1137	4.09752	0.588841	0.539026	3.52486	3.53766	6.96	7	0.778947	1	7237.22	6611
R	healthy	M/DC	54	5.19948	5.10759	0.875636	0.661279	4.32384	4.46096	12.9815	12	0.759259	1	3974.52	3058.5
R	healthy	NK	52	4.90715	5.00231	1.23517	1.53715	3.67198	3.42415	6.30769	6.5	1.01923	1	2825.46	2165.5
R	healthy	T	1853	4.75909	4.81265	0.931242	0	3.82784	3.94092	5.74204	6	0.679978	0	2315.75	1897
R	healthy	unknown	10128	4.65705	4.7468	0.657675	0	3.99937	4.15266	5.55421	5	0.480352	0	2890.1	1907
