tissue_assignment	celltype	n_diseased_samples	n_healthy_samples	diseased_cells	healthy_cells	mean_axis_diseased	mean_axis_healthy	delta_axis_diseased_minus_healthy	p_axis_mannwhitney	mean_up_diseased	mean_up_healthy	delta_up_diseased_minus_healthy	p_up_mannwhitney	mean_down_diseased	mean_down_healthy	delta_down_diseased_minus_healthy	p_down_mannwhitney
R	T:T16	2	1	9	3	3.59051	1.79457	1.79594		4.11261	3.91492	0.197695		0.522111	2.12035	-1.59824	
R	T:T13	2	1	3	1	3.22515	2.10325	1.1219		3.71786	3.97537	-0.257515		0.492708	1.87212	-1.37941	
R	B:B13	6	3	36	61	4.50652	3.53028	0.976243	0.0238095	4.68252	4.1271	0.55542	0.047619	0.175999	0.596818	-0.42082	0.0878251
R	T:T4	7	3	48	11	4.1907	3.33738	0.853324	0.516667	4.63711	4.1472	0.489911	0.183333	0.446407	0.809825	-0.363418	0.488808
R	B:B16	5	3	46	10	4.08577	3.29369	0.79208	0.142857	4.47822	4.13639	0.341823	0.571429	0.392447	0.842699	-0.450252	0.142857
R	T:T9	6	1	21	2	3.49118	2.80563	0.685547		4.21197	4.81714	-0.605172		0.72079	2.01152	-1.29073	
R	B:B4	7	4	515	44	3.98537	3.32901	0.656365	0.230303	4.37882	4.13708	0.241735	0.163636	0.393448	0.808078	-0.41463	0.230303
R	B:B14	7	3	40	40	4.04589	3.47068	0.575211	0.0666667	4.7758	4.35417	0.421635	0.0666667	0.729909	0.883483	-0.153574	0.516667
R	B:B2	7	4	853	128	4.0556	3.48519	0.570414	0.0424242	4.56003	4.41904	0.140991	0.648485	0.504418	0.933844	-0.429425	0.0242424
R	B:B12	6	4	39	84	3.69412	3.13696	0.557166	0.114286	4.10306	4.18346	-0.0804	1	0.40894	1.04651	-0.63757	0.164522
R	T:T15	4	4	6	17	3.89928	3.37583	0.523448	0.685714	4.85461	4.29262	0.561997	0.2	0.955335	0.916789	0.0385465	0.88242
