ingredient_id	ingredient_name	target_id	gene_symbol	protein_name	edge_source	evidence_level	target_source	reference_id	reference_url	pubmed_id	pubmed_url	reference_title	relationship	grade	supporting_sentence	in_bulk_uc_ibd_up150	in_bulk_uc_ibd_down150	candidate_priority_class	candidate_priority_score
HBIN017892	Berberime	HBTAR003369	RAC1	Rac family small GTPase 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF003418	/Reference/detail/?v=HBREF003418	36584918	https://pubmed.ncbi.nlm.nih.gov/36584918/	Berberine hydrochloride inhibits migration ability via increasing inducible NO synthase and peroxynitrite in HTR-8/SVneo cells		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR006706	BRD4	bromodomain containing 4	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF003392	/Reference/detail/?v=HBREF003392	35259053	https://pubmed.ncbi.nlm.nih.gov/35259053/	Berberine represses Wnt/β-catenin pathway activation via modulating the microRNA-103a-3p/Bromodomain-containing protein 4 axis, thereby refraining pyroptosis and reducing the intestinal mucosal barrier defect induced via colitis	bind/target	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR001816	HK1	hexokinase 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF003397	/Reference/detail/?v=HBREF003397	35428692	https://pubmed.ncbi.nlm.nih.gov/35428692/	Berberine Modulates Macrophage Activation by Inducing Glycolysis	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR010589	NLRP3	NLR family pyrin domain containing 3	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF003385	/Reference/detail/?v=HBREF003385	34984827	https://pubmed.ncbi.nlm.nih.gov/34984827/	Berberine ameliorates aGVHD by gut microbiota remodelling, TLR4 signalling suppression and colonic barrier repairment for NLRP3 inflammasome inhibition	suppress/inhibitor	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR010589	NLRP3	NLR family pyrin domain containing 3	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF003411	/Reference/detail/?v=HBREF003411	36112730	https://pubmed.ncbi.nlm.nih.gov/36112730/	Berberine ameliorates pulmonary inflammation in mice with influenza viral pneumonia by inhibiting NLRP3 inflammasome activation and gasdermin D-mediated pyroptosis	suppress/inhibitor	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR003083	POLE2	DNA polymerase epsilon 2, accessory subunit	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF003389	/Reference/detail/?v=HBREF003389	35173608	https://pubmed.ncbi.nlm.nih.gov/35173608/	Berberine Inhibits FOXM1 Dependent Transcriptional Regulation of POLE2 and Interferes With the Survival of Lung Adenocarcinoma	suppress/inhibitor	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR002042	IL1B	interleukin 1 beta	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF003390	/Reference/detail/?v=HBREF003390	35215376	https://pubmed.ncbi.nlm.nih.gov/35215376/	Pre-Administration of Berberine Exerts Chemopreventive Effects in AOM/DSS-Induced Colitis-Associated Carcinogenesis Mice via Modulating Inflammation and Intestinal Microbiota	suppress/inhibitor	Grade C	redacted_public_package	yes	no	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR002042	IL1B	interleukin 1 beta	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF003406	/Reference/detail/?v=HBREF003406	35935245	https://pubmed.ncbi.nlm.nih.gov/35935245/	Therapeutic Mechanisms of Berberine to Improve the Intestinal Barrier Function via Modulating Gut Microbiota, TLR4/NF-κ B/MTORC Pathway and Autophagy in Cats	downregulate/decrease	Grade C	redacted_public_package	yes	no	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR002042	IL1B	interleukin 1 beta	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF003409	/Reference/detail/?v=HBREF003409	36089660	https://pubmed.ncbi.nlm.nih.gov/36089660/	Berberine ameliorates depression-like behavior in CUMS mice by activating TPH1 and inhibiting IDO1-associated with tryptophan metabolism	downregulate/decrease	Grade C	redacted_public_package	yes	no	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR002042	IL1B	interleukin 1 beta	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF003411	/Reference/detail/?v=HBREF003411	36112730	https://pubmed.ncbi.nlm.nih.gov/36112730/	Berberine ameliorates pulmonary inflammation in mice with influenza viral pneumonia by inhibiting NLRP3 inflammasome activation and gasdermin D-mediated pyroptosis	downregulate/decrease	Grade C	redacted_public_package	yes	no	priority_for_lincs_mapping	41.0
