Table order	Compound	Representative HERB source	PubChem CID	Disease-context targets	Rectal B-lineage expressed targets	Rectal B-lineage increased targets	M/DC increased targets	HERB evidence records
1	Curcumin	姜黄 (Jiang Huang; Rhizoma Curcumae Longae; Curcumae Longae Rhizoma)	969516	22	12	11	8	13
2	Berberine	黄连 (Huang Lian; Coptidis Rhizoma; Rhizoma Coptidis)	2353	16	9	8	5	10
3	Bilobalide	银杏叶 (Yin Xing Ye; Folium Ginkgo; Ginkgo Folium)	73581	12	7	6	6	2
4	Geniposide	栀子 (Zhi Zi; Gardeniae Fructus; Fructus Gardeniae)	107848	11	6	6	4	2
5	Emodin	显齿蛇葡萄 (Xian Chi She Pu Tao; Ampelopsis Grossedentata)	3220	18	7	5	4	4
6	Shikonin / Isoarnebin 4	白果紫草 (Bai Guo Zi Cao; Lithospermum Officinale)	479503	9	6	5	3	2
7	Alpinetin	半枝莲 (Ban Zhi Lian; Scutellariae Barbatae Herba; Herba Scutellariae Barbatae)	154279	6	5	5	3	2
8	Trans-resveratrol	枸骨叶 (Gou Gu Ye; Ilicis Cornutae Folium; Folium Ilicis Cornutae)	445154	7	4	4	4	6
9	Taxifolin	巴旦杏仁 (Ba Dan Xing Ren; Semen Amygdalus Persicae; Semen Amygdalus Davidianae)	439533	7	4	4	3	3
10	Asperuloside	巴戟天 (Ba Ji Tian; Radix Morindae Officinalis; Morindae Officinalis Radix)	84298	7	5	4	2	2
11	Polydatin	甘遂 (Gan Sui; Kansui Radix; Radix Kansui)	5281718	5	4	4	2	2
12	Cryptotanshinone	白花甘西鼠尾草 (Bai Hua Gan Xi Shu Wei Cao; Salvia Przewalskii Var. Alba)	160254	11	6	3	4	3
