Display rank	Compound	PubChem CID	Disease-context targets	Rectal B-lineage expressed targets	Rectal B-lineage increased targets	M/DC increased targets	HERB evidence records
1	Curcumin	969516	22	12	11	8	13
2	Berberine	2353	16	9	8	5	10
3	Bilobalide	73581	12	7	6	6	2
4	Geniposide	107848	11	6	6	4	2
5	Emodin	3220	18	7	5	4	4
6	Isoarnebin 4	479503	9	6	5	3	2
7	Alpinetin	154279	6	5	5	3	2
8	Trans-resveratrol	445154	7	4	4	4	6
9	Taxifolin	439533	7	4	4	3	3
10	Asperuloside	84298	7	5	4	2	2
11	Polydatin	5281718	5	4	4	2	2
12	Cryptotanshinone	160254	11	6	3	4	3
