gene_symbol	display_evidence_layer	display_bulk_role	evidence_tier	bulk_module_role	relationship_directions	pubmed_ids	b_delta_log1p_cpm_diseased_minus_healthy	b_p_log1p_cpm_mannwhitney	mdc_delta_log1p_cpm_diseased_minus_healthy	mdc_p_log1p_cpm_mannwhitney	open_targets_diseases	max_open_targets_overall	max_open_targets_genetic	max_open_targets_clinical	pubmed_edges_checked	pubmed_title_matches	pubmed_target_terms_found	fulltext_evidence_levels	recommended_figure_use	interpretation_boundary
IL1B	Bulk up-module and B-cell increased	UC/IBD up-module	A_module_aligned_b_cell_increased	bulk_up_top150	down	36196887;36353208	0.001133	1	0.5165	0.117	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.14	0	0.152	2	2	2	open_fulltext_body_match;user_provided_fulltext_body_match	cytokine_context_candidate;main_or_supplementary	Full text supports cytokine-context evidence in the chronic colitis/Breg study; use as inflammatory-context support unless the claim is explicitly cell-specific. | Supports inflammatory target context; use with disease/bulk/scRNA evidence rather than as standalone mechanism.
CCL2	Bulk up-module cytokine-context target	UC/IBD up-module	B_module_aligned	bulk_up_top150	down	36196887	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.413	0.637	0	1	1	1	user_provided_fulltext_body_match	cytokine_context_candidate	Full text supports cytokine-context evidence in the chronic colitis/Breg study; use as inflammatory-context support unless the claim is explicitly cell-specific.
IL33	Bulk up-module cytokine-context target	UC/IBD up-module	B_module_aligned	bulk_up_top150	down	36196887	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.298	0.431	0	1	1	1	user_provided_fulltext_body_match	cytokine_context_candidate	Full text supports cytokine-context evidence in the chronic colitis/Breg study; use as inflammatory-context support unless the claim is explicitly cell-specific.
BLNK	B-cell mechanism candidate	Not in top bulk module	C_b_cell_mechanism_increased	not_bulk_top150	up	36353208	0.2816	0.0424	0.04652	0.732	inflammatory bowel disease	0.0216	0	0	1	1	1	open_fulltext_body_match	main_figure_candidate	Directly supports the memory B-cell/Bcl-6-Syk-BLNK axis claim.
SYK	B-cell mechanism candidate	Not in top bulk module	C_b_cell_mechanism_increased	not_bulk_top150	down	36353208	0.2135	0.0424	-0.157	0.667	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.5	0.783	0	1	1	1	open_fulltext_body_match	main_figure_candidate	Directly supports the memory B-cell/Bcl-6-Syk-BLNK axis claim.
SH3KBP1	B-cell mechanism candidate	Not in top bulk module	C_b_cell_mechanism_increased	not_bulk_top150	down	36353208	0.08505	0.315	0.1073	1	inflammatory bowel disease	0.00702	0	0	1	1	1			
BCL6	B-cell mechanism candidate	Not in top bulk module	C_b_cell_mechanism_increased	not_bulk_top150	down	36353208	0.07212	0.0179	-0.3121	0.11	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.0547	0	0	1	1	1	open_fulltext_body_match	main_figure_candidate	Directly supports the memory B-cell/Bcl-6-Syk-BLNK axis claim.
TNF	B-cell increased supplementary target	Not in top bulk module	D_b_cell_increased	not_bulk_top150	down	36196887;36353208	0.2476	0.109	0.08439	0.667	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.646	0	0.997	2	2	2	open_fulltext_body_match;user_provided_fulltext_body_match	cytokine_context_candidate;main_or_supplementary	Full text supports cytokine-context evidence in the chronic colitis/Breg study; use as inflammatory-context support unless the claim is explicitly cell-specific. | Supports inflammatory target context; use with disease/bulk/scRNA evidence rather than as standalone mechanism.
JAK1	B-cell increased supplementary target	Not in top bulk module	D_b_cell_increased	not_bulk_top150	down	33597887	0.2427	0.164	0.07163	0.833	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.596	0	0.967	1	1	1	open_fulltext_body_match	supplementary_candidate	Supports secondary signaling/cytokine context; do not center the main B-cell mechanism on this target.
PIAS1	B-cell increased supplementary target	Not in top bulk module	D_b_cell_increased	not_bulk_top150	up	33597887	0.08244	0.23	-0.3663	0.0167	inflammatory bowel disease	0.0109	0	0	1	1	1	open_fulltext_body_match	supplementary_candidate	Supports secondary signaling/cytokine context; do not center the main B-cell mechanism on this target.
