gene	evidence_layer	bulk_signature_role	HERB_relation_direction	supporting_PMIDs	rectal_B_cell_delta_log1p_CPM	rectal_B_cell_P	rectal_MDC_delta_log1p_CPM	rectal_MDC_P	Open_Targets_disease_contexts	max_Open_Targets_overall_score	max_Open_Targets_genetic_score	max_Open_Targets_clinical_score	PubMed_title_matches	PubMed_target_terms_found	full_text_evidence_level	figure_evidence_role	interpretation_boundary
IL1B	Bulk up-module and B-cell increased	UC/IBD up-module	down	36196887;36353208	0.001133	1	0.5165	0.117	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.14	0	0.152	2	2	Open full-text body match; Restricted full-text body match	Cytokine-context evidence; Main or supplementary inflammatory context	Full text supports cytokine-context evidence in the chronic colitis/Breg study; use as inflammatory-context support unless the claim is explicitly cell-specific. | Supports inflammatory target context; use with disease/bulk/scRNA evidence rather than as standalone mechanism.
CCL2	Bulk up-module cytokine-context target	UC/IBD up-module	down	36196887	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.413	0.637	0	1	1	Restricted full-text body match	Cytokine-context evidence	Full text supports cytokine-context evidence in the chronic colitis/Breg study; use as inflammatory-context support unless the claim is explicitly cell-specific.
IL33	Bulk up-module cytokine-context target	UC/IBD up-module	down	36196887	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.298	0.431	0	1	1	Restricted full-text body match	Cytokine-context evidence	Full text supports cytokine-context evidence in the chronic colitis/Breg study; use as inflammatory-context support unless the claim is explicitly cell-specific.
BLNK	B-cell mechanism candidate	Not in top bulk module	up	36353208	0.2816	0.0424	0.04652	0.732	inflammatory bowel disease	0.0216	0	0	1	1	Open full-text body match	Main B-cell mechanism	Directly supports the memory B-cell/Bcl-6-Syk-BLNK axis claim.
SYK	B-cell mechanism candidate	Not in top bulk module	down	36353208	0.2135	0.0424	-0.157	0.667	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.5	0.783	0	1	1	Open full-text body match	Main B-cell mechanism	Directly supports the memory B-cell/Bcl-6-Syk-BLNK axis claim.
SH3KBP1	B-cell mechanism candidate	Not in top bulk module	down	36353208	0.08505	0.315	0.1073	1	inflammatory bowel disease	0.00702	0	0	1	1	No full-text body match in high-value verification	Not used in main mechanism figure	
BCL6	B-cell mechanism candidate	Not in top bulk module	down	36353208	0.07212	0.0179	-0.3121	0.11	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.0547	0	0	1	1	Open full-text body match	Main B-cell mechanism	Directly supports the memory B-cell/Bcl-6-Syk-BLNK axis claim.
TNF	B-cell increased supplementary target	Not in top bulk module	down	36196887;36353208	0.2476	0.109	0.08439	0.667	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.646	0	0.997	2	2	Open full-text body match; Restricted full-text body match	Cytokine-context evidence; Main or supplementary inflammatory context	Full text supports cytokine-context evidence in the chronic colitis/Breg study; use as inflammatory-context support unless the claim is explicitly cell-specific. | Supports inflammatory target context; use with disease/bulk/scRNA evidence rather than as standalone mechanism.
JAK1	B-cell increased supplementary target	Not in top bulk module	down	33597887	0.2427	0.164	0.07163	0.833	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.596	0	0.967	1	1	Open full-text body match	Supplementary context	Supports secondary signaling/cytokine context; do not center the main B-cell mechanism on this target.
PIAS1	B-cell increased supplementary target	Not in top bulk module	up	33597887	0.08244	0.23	-0.3663	0.0167	inflammatory bowel disease	0.0109	0	0	1	1	Open full-text body match	Supplementary context	Supports secondary signaling/cytokine context; do not center the main B-cell mechanism on this target.
