variant	tissue_assignment	celltype	n_diseased_samples	n_healthy_samples	delta_axis_diseased_minus_healthy	p_mannwhitney	q_mannwhitney_bh	empirical_p_two_sided	q_empirical_bh	null_q025_delta	null_q975_delta	n_permutations	seed
GSE75214_top150_avg_logcpm	R	T	7	4	0.0127183	0.163636	0.654545	0.154585	0.618338	-0.0164238	0.0155584	10000	20260702
GSE75214_top150_avg_logcpm	R	B	7	4	0.0105791	0.648485	0.927273	0.566543	0.963104	-0.031535	0.0275573	10000	20260702
GSE75214_top150_avg_logcpm	R	M/DC	7	3	0.00153512	0.833333	0.927273	0.982202	0.982202	-0.0949359	0.105414	10000	20260702
GSE75214_top150_avg_logcpm	R	NK	7	4	-0.00519869	0.927273	0.927273	0.722328	0.963104	-0.0254477	0.0267536	10000	20260702
GSE75214_top150_logsum_cpm	R	T	7	4	0.250956	0.0424242	0.169697	0.0933907	0.373563	-0.288298	0.255691	10000	20260702
GSE75214_top150_logsum_cpm	R	B	7	4	0.133576	0.927273	0.927273	0.651735	0.80192	-0.489281	0.437383	10000	20260702
GSE75214_top150_logsum_cpm	R	M/DC	7	3	0.11721	0.516667	0.864646	0.785121	0.80192	-0.50664	0.691575	10000	20260702
GSE75214_top150_logsum_cpm	R	NK	7	4	0.0328835	0.648485	0.864646	0.80192	0.80192	-0.311784	0.325099	10000	20260702
GSE87466_top150_avg_logcpm	R	B	7	4	0.0191841	0.163636	0.654545	0.090191	0.360764	-0.0210124	0.0226849	10000	20260702
GSE87466_top150_avg_logcpm	R	M/DC	7	3	0.0100773	1	1	0.830117	0.830117	-0.111021	0.119578	10000	20260702
GSE87466_top150_avg_logcpm	R	NK	7	4	0.00630784	0.787879	1	0.825017	0.830117	-0.0428274	0.051086	10000	20260702
GSE87466_top150_avg_logcpm	R	T	7	4	0.00489409	0.648485	1	0.680432	0.830117	-0.0215341	0.0217198	10000	20260702
GSE87466_top150_logsum_cpm	R	NK	7	4	0.226024	0.648485	0.648485	0.479552	0.639403	-0.521546	0.571038	10000	20260702
GSE87466_top150_logsum_cpm	R	T	7	4	0.16752	0.163636	0.648485	0.174983	0.639403	-0.220229	0.240314	10000	20260702
GSE87466_top150_logsum_cpm	R	B	7	4	0.141452	0.527273	0.648485	0.352065	0.639403	-0.265161	0.285405	10000	20260702
GSE87466_top150_logsum_cpm	R	M/DC	7	3	0.11953	0.516667	0.648485	0.779022	0.779022	-0.530952	0.713052	10000	20260702
