analysis_family	feature	measure	n_diseased	n_healthy	observed_delta	bootstrap_ci_low	bootstrap_ci_high	bootstrap_iterations	seed	source_table	interpretation
celltype_disease_axis	B	mean_disease_axis_score	7	4	0.538392	0.418122	0.664344	20000	20260701	results/m6_scrna_cell_state/gse125527_pseudobulk_module_summary.tsv	patient-level pseudobulk bootstrap CI for diseased-minus-healthy mean difference
celltype_disease_axis	M/DC	mean_disease_axis_score	7	3	0.253899	-0.0362929	0.564776	20000	20260701	results/m6_scrna_cell_state/gse125527_pseudobulk_module_summary.tsv	patient-level pseudobulk bootstrap CI for diseased-minus-healthy mean difference
celltype_disease_axis	T	mean_disease_axis_score	7	4	0.00586036	-0.179314	0.188826	20000	20260701	results/m6_scrna_cell_state/gse125527_pseudobulk_module_summary.tsv	patient-level pseudobulk bootstrap CI for diseased-minus-healthy mean difference
celltype_disease_axis	NK	mean_disease_axis_score	7	4	0.0307754	-0.48052	0.463028	20000	20260701	results/m6_scrna_cell_state/gse125527_pseudobulk_module_summary.tsv	patient-level pseudobulk bootstrap CI for diseased-minus-healthy mean difference
celltype_disease_axis	unknown	mean_disease_axis_score	7	8	-0.0423548	-0.162746	0.0827788	20000	20260701	results/m6_scrna_cell_state/gse125527_pseudobulk_module_summary.tsv	patient-level pseudobulk bootstrap CI for diseased-minus-healthy mean difference
curcumin_target_bcell_expression	BCL6	B-cell log1p CPM	7	4	0.0721226	0.0419507	0.0962571	20000	20260701	results/m9_target_cell_bridge/gse125527_target_gene_pseudobulk.tsv	patient-level pseudobulk bootstrap CI for diseased-minus-healthy mean difference; prioritization support only
curcumin_target_bcell_expression	BLNK	B-cell log1p CPM	7	4	0.281591	0.0869532	0.511024	20000	20260701	results/m9_target_cell_bridge/gse125527_target_gene_pseudobulk.tsv	patient-level pseudobulk bootstrap CI for diseased-minus-healthy mean difference; prioritization support only
curcumin_target_bcell_expression	SYK	B-cell log1p CPM	7	4	0.2135	0.0464777	0.375749	20000	20260701	results/m9_target_cell_bridge/gse125527_target_gene_pseudobulk.tsv	patient-level pseudobulk bootstrap CI for diseased-minus-healthy mean difference; prioritization support only
curcumin_target_bcell_expression	IL1B	B-cell log1p CPM	7	4	0.00113324	-0.00570384	0.00820643	20000	20260701	results/m9_target_cell_bridge/gse125527_target_gene_pseudobulk.tsv	patient-level pseudobulk bootstrap CI for diseased-minus-healthy mean difference; prioritization support only
curcumin_target_bcell_expression	TNF	B-cell log1p CPM	7	4	0.247649	0.0306329	0.466084	20000	20260701	results/m9_target_cell_bridge/gse125527_target_gene_pseudobulk.tsv	patient-level pseudobulk bootstrap CI for diseased-minus-healthy mean difference; prioritization support only
